,Pattern,CPR,Encoding,Pattern Complexity,Accuracy,F1Score,Examples,Precision,TH,Recall,Concept,NumExp
48,Double,216.32999999999998,Agent,10,73.6,70.14,[412 393 585 473 468],80.73,0.2,62.0,Level Door,5
49,Double,177.75,Agent,10,62.2,43.24,[412 393 585 473 468],86.75,0.5,28.8,Level Door,5
50,Double,179.28,Agent,10,62.2,57.72,[838 663 802 801 823],65.48,0.2,51.6,Green Door,5
51,Double,111.52999999999999,Agent,10,50.4,5.34,[838 663 802 801 823],58.33,0.5,2.8,Green Door,5
52,Double,158.54000000000002,Agent,10,58.4,44.39,[ 880 1063 1087  927 1021],66.94,0.2,33.2,Key Door,5
53,Double,141.0,Agent,10,53.0,14.55,[ 880 1063 1087  927 1021],80.0,0.5,8.0,Key Door,5
54,Double,196.12,Agent,10,64.8,65.62,[1315 1289 1169 1254 1264],64.12,0.2,67.2,Other Door,5
55,Double,138.94,Agent,10,54.0,22.3,[1315 1289 1169 1254 1264],71.74,0.5,13.2,Other Door,5
56,Double,166.91000000000003,Agent,10,58.0,53.95,[831 251 806 268 826],59.71,0.2,49.2,Key,5
57,Double,143.12,Agent,10,54.2,20.76,[831 251 806 268 826],76.92,0.5,12.0,Key,5
58,Double,217.29999999999998,Agent,10,73.6,71.31,[180 556 766 761 587],78.1,0.2,65.6,Orb,5
59,Double,170.31,Agent,10,58.8,31.79,[180 556 766 761 587],92.31,0.5,19.2,Orb,5
60,Triplet,199.82999999999998,Agent,10,68.6,57.68,[556 538 360 468 488],88.43,0.2,42.8,Level Door,5
61,Triplet,167.18,Agent,10,57.6,27.89,[556 538 360 468 488],93.18,0.5,16.4,Level Door,5
62,Triplet,159.44,Agent,10,57.4,30.16,[655 832 848 740 723],83.64,0.2,18.4,Green Door,5
63,Triplet,150.6,Agent,10,50.2,0.8,[655 832 848 740 723],100.0,0.5,0.4,Green Door,5
64,Triplet,120.73,Agent,10,49.2,31.35,[1042  987  918 1051 1039],48.33,0.2,23.2,Key Door,5
65,Triplet,83.11,Agent,10,45.4,11.65,[1042  987  918 1051 1039],30.51,0.5,7.2,Key Door,5
66,Triplet,150.6,Agent,10,56.4,30.57,[1346 1149 1196 1160 1201],75.0,0.2,19.2,Other Door,5
67,Triplet,145.2,Agent,10,51.6,6.92,[1346 1149 1196 1160 1201],90.0,0.5,3.6,Other Door,5
68,Triplet,142.72,Agent,10,55.2,33.33,[ 231  238 1095  809  807],65.12,0.2,22.4,Key,5
69,Triplet,122.67,Agent,10,51.2,8.96,[ 231  238 1095  809  807],66.67,0.5,4.8,Key,5
70,Triplet,203.78,Agent,10,70.0,65.12,[ 190 1302  184 1321  185],77.78,0.2,56.0,Orb,5
71,Triplet,171.2,Agent,10,59.6,34.84,[ 190 1302  184 1321  185],90.0,0.5,21.6,Orb,5
72,Single,213.69,Agent,10,67.0,71.8,[525 353 408 544 511],62.69,0.2,84.0,Level Door,5
73,Single,193.73,Agent,10,67.2,56.38,[525 353 408 544 511],84.13,0.5,42.4,Level Door,5
74,Single,202.99,Agent,10,59.6,68.34,[711 737 823 832 806],56.19,0.2,87.2,Green Door,5
75,Single,195.39,Agent,10,67.8,60.64,[711 737 823 832 806],77.99,0.5,49.6,Green Door,5
76,Single,197.5,Agent,10,59.6,66.77,[1053  924  996  861 1046],56.7,0.2,81.2,Key Door,5
77,Single,152.35,Agent,10,57.2,38.15,[1053  924  996  861 1046],68.75,0.5,26.4,Key Door,5
78,Single,193.61,Agent,10,57.4,65.59,[1224 1168 1146 1145 1203],55.01,0.2,81.2,Other Door,5
79,Single,156.01,Agent,10,58.0,40.34,[1224 1168 1146 1145 1203],69.61,0.5,28.4,Other Door,5
80,Single,180.08,Agent,10,52.2,61.51,[839 287 292 827 331],51.48,0.2,76.4,Key,5
81,Single,120.53,Agent,10,51.4,21.36,[839 287 292 827 331],55.93,0.5,13.2,Key,5
82,Single,223.44,Agent,10,67.4,74.41,[553 162 579 576 757],61.24,0.2,94.8,Orb,5
83,Single,213.78,Agent,10,72.8,69.37,[553 162 579 576 757],79.38,0.5,61.6,Orb,5
84,Double,203.53,Agent,10,67.8,67.86,[492 540 403 371 520],67.73,0.2,68.0,Level Door,5
85,Double,169.79999999999998,Agent,10,61.2,46.41,[492 540 403 371 520],75.0,0.5,33.6,Level Door,5
86,Double,193.1,Agent,10,64.6,64.24,[748 849 685 705 837],64.9,0.2,63.6,Green Door,5
87,Double,188.64999999999998,Agent,10,66.0,55.73,[748 849 685 705 837],79.85,0.5,42.8,Green Door,5
88,Double,145.82,Agent,10,53.6,44.23,[ 942 1073 1052  929  853],55.42,0.2,36.8,Key Door,5
89,Double,126.67,Agent,10,52.0,14.29,[ 942 1073 1052  929  853],66.67,0.5,8.0,Key Door,5
90,Double,207.04,Agent,10,70.8,62.18,[1200 1128 1242 1320 1206],88.24,0.2,48.0,Other Door,5
91,Double,171.60000000000002,Agent,10,58.8,31.33,[1200 1128 1242 1320 1206],94.0,0.5,18.8,Other Door,5
92,Double,127.96,Agent,10,50.4,35.08,[1078  248  331  331 1067],50.76,0.2,26.8,Key,5
93,Double,90.44999999999999,Agent,10,47.0,12.54,[1078  248  331  331 1067],35.85,0.5,7.6,Key,5
94,Double,223.48,Agent,10,75.2,73.95,[ 599  159 1324  575 1321],77.88,0.2,70.4,Orb,5
95,Double,179.32999999999998,Agent,10,63.4,49.02,[ 599  159 1324  575 1321],80.73,0.5,35.2,Orb,5
96,Triplet,190.43,Agent,10,66.4,55.56,[418 408 444 483 550],82.03,0.2,42.0,Level Door,5
97,Triplet,178.95,Agent,10,61.2,38.22,[418 408 444 483 550],93.75,0.5,24.0,Level Door,5
98,Triplet,179.42000000000002,Agent,10,63.6,51.34,[762 614 612 825 659],77.42,0.2,38.4,Green Door,5
99,Triplet,178.77999999999997,Agent,10,62.8,45.61,[762 614 612 825 659],84.78,0.5,31.2,Green Door,5
100,Triplet,118.62,Agent,10,49.6,28.41,[1002 1047  967  853  948],49.02,0.2,20.0,Key Door,5
101,Triplet,107.15,Agent,10,50.2,4.6,[1002 1047  967  853  948],54.55,0.5,2.4,Key Door,5
102,Triplet,132.97,Agent,10,53.4,27.41,[1282 1247 1304 1229 1245],61.97,0.2,17.6,Other Door,5
103,Triplet,141.0,Agent,10,54.0,20.69,[1282 1247 1304 1229 1245],75.0,0.5,12.0,Other Door,5
104,Triplet,129.01999999999998,Agent,10,51.6,9.7,[ 229 1066  311  831 1062],72.22,0.2,5.2,Key,5
105,Triplet,151.20000000000002,Agent,10,50.4,1.59,[ 229 1066  311  831 1062],100.0,0.5,0.8,Key,5
106,Triplet,186.09,Agent,10,64.2,47.2,[ 755  157 1028 1010 1038],89.89,0.2,32.0,Orb,5
107,Triplet,166.42,Agent,10,57.4,27.3,[ 755  157 1028 1010 1038],93.02,0.5,16.0,Orb,5
108,Single,247.61,Agent,10,78.8,82.22,[596 451 554 371 504],70.81,0.2,98.0,Level Door,5
109,Single,226.26,Agent,10,76.6,73.59,[596 451 554 371 504],84.46,0.5,65.2,Level Door,5
110,Single,194.98,Agent,10,59.8,65.99,[612 839 612 673 836],57.18,0.2,78.0,Green Door,5
111,Single,182.01,Agent,10,64.0,49.72,[612 839 612 673 836],82.41,0.5,35.6,Green Door,5
112,Single,162.97000000000003,Agent,10,53.0,54.9,[ 977  991  929  878 1050],52.77,0.2,57.2,Key Door,5
113,Single,149.89000000000001,Agent,10,56.6,34.04,[ 977  991  929  878 1050],70.89,0.5,22.4,Key Door,5
114,Single,198.48000000000002,Agent,10,57.4,66.97,[1302 1117 1182 1236 1166],54.68,0.2,86.4,Other Door,5
115,Single,169.64000000000001,Agent,10,60.0,53.27,[1302 1117 1182 1236 1166],64.04,0.5,45.6,Other Door,5
116,Single,181.76,Agent,10,61.2,60.24,[1055  257  281  204  304],61.76,0.2,58.8,Key,5
117,Single,144.3,Agent,10,54.4,21.38,[1055  257  281  204  304],77.5,0.5,12.4,Key,5
118,Single,215.01,Agent,10,63.2,71.78,[1004  768  151 1021 1040],58.21,0.2,93.6,Orb,5
119,Single,218.71,Agent,10,74.4,69.38,[1004  768  151 1021 1040],86.31,0.5,58.0,Orb,5
120,Double,203.32999999999998,Agent,10,70.0,62.5,[454 535 540 454 367],83.33,0.2,50.0,Level Door,5
121,Double,147.16,Agent,10,53.2,13.97,[454 535 540 454 367],86.36,0.5,7.6,Level Door,5
122,Double,192.55,Agent,10,64.6,63.95,[712 680 647 717 846],65.15,0.2,62.8,Green Door,5
123,Double,187.07999999999998,Agent,10,65.6,55.44,[712 680 647 717 846],78.68,0.5,42.8,Green Door,5
124,Double,161.7,Agent,10,55.2,53.14,[1042 1013 1085  984  906],55.7,0.2,50.8,Key Door,5
125,Double,110.32,Agent,10,50.4,12.06,[1042 1013 1085  984  906],53.12,0.5,6.8,Key Door,5
126,Double,218.03,Agent,10,73.6,65.63,[1224 1295 1157 1322 1168],94.03,0.2,50.4,Other Door,5
127,Double,193.27,Agent,10,65.0,46.81,[1224 1295 1157 1322 1168],97.47,0.5,30.8,Other Door,5
128,Double,174.94,Agent,10,62.4,51.79,[ 226 1075  335  815  298],72.14,0.2,40.4,Key,5
129,Double,137.79999999999998,Agent,10,53.2,17.02,[ 226 1075  335  815  298],75.0,0.5,9.6,Key,5
130,Double,207.02,Agent,10,69.8,68.48,[ 764  582  795 1009 1319],71.62,0.2,65.6,Orb,5
131,Double,147.78,Agent,10,56.2,36.89,[ 764  582  795 1009 1319],65.98,0.5,25.6,Orb,5
132,Triplet,200.99,Agent,10,68.4,55.87,[388 525 558 524 362],92.59,0.2,40.0,Level Door,5
133,Triplet,194.1,Agent,10,65.0,46.48,[388 525 558 524 362],98.7,0.5,30.4,Level Door,5
134,Triplet,145.95,Agent,10,55.8,36.31,[637 682 782 638 621],64.95,0.2,25.2,Green Door,5
135,Triplet,134.06,Agent,10,53.6,26.11,[637 682 782 638 621],64.06,0.5,16.4,Green Door,5
136,Triplet,126.46000000000001,Agent,10,51.8,28.91,[ 911  962 1039  890  893],55.06,0.2,19.6,Key Door,5
137,Triplet,129.8,Agent,10,51.2,6.87,[ 911  962 1039  890  893],75.0,0.5,3.6,Key Door,5
138,Triplet,177.18,Agent,10,61.2,38.99,[1279 1109 1291 1188 1223],91.18,0.2,24.8,Other Door,5
139,Triplet,171.65,Agent,10,58.4,29.73,[1279 1109 1291 1188 1223],95.65,0.5,17.6,Other Door,5
140,Triplet,163.45000000000002,Agent,10,59.4,39.4,[207 219 263 206 235],77.65,0.2,26.4,Key,5
141,Triplet,148.69,Agent,10,55.0,22.68,[207 219 263 206 235],80.49,0.5,13.2,Key,5
142,Triplet,147.63,Agent,10,56.2,35.78,[ 753 1316  767  177 1008],67.03,0.2,24.4,Orb,5
143,Triplet,153.0,Agent,10,51.0,3.92,[ 753 1316  767  177 1008],100.0,0.5,2.0,Orb,5
144,Single,224.82999999999998,Agent,10,65.8,74.44,[541 376 450 460 579],59.43,0.2,99.6,Level Door,5
145,Single,220.75,Agent,10,75.0,70.31,[541 376 450 460 579],86.55,0.5,59.2,Level Door,5
146,Single,199.57,Agent,10,57.6,67.28,[838 619 751 614 804],54.77,0.2,87.2,Green Door,5
