,Pattern,CPR,Encoding,Pattern Complexity,Accuracy,F1Score,Examples,Precision,TH,Recall,Concept,NumExp
506,Single,205.07999999999998,Agent,10,60.6,68.97,[830 694 624 746 839],56.88,0.2,87.6,Green Door,5
507,Single,160.43,Agent,10,59.0,42.25,[830 694 624 746 839],71.43,0.5,30.0,Green Door,5
508,Single,190.85000000000002,Agent,10,55.8,64.76,[ 864  902  969 1002  974],53.85,0.2,81.2,Key Door,5
509,Single,148.23,Agent,10,54.6,44.5,[ 864  902  969 1002  974],57.23,0.5,36.4,Key Door,5
510,Single,206.11,Agent,10,62.2,69.37,[1341 1187 1262 1291 1286],58.31,0.2,85.6,Other Door,5
511,Single,205.38000000000002,Agent,10,70.0,59.68,[1341 1187 1262 1291 1286],90.98,0.5,44.4,Other Door,5
512,Single,184.2,Agent,10,51.6,62.77,[ 259  269  345 1096  332],51.0,0.2,81.6,Key,5
513,Single,133.26000000000002,Agent,10,52.6,34.35,[ 259  269  345 1096  332],55.86,0.5,24.8,Key,5
514,Single,219.20000000000002,Agent,10,65.2,73.07,[ 160  189 1040  754 1003],59.6,0.2,94.4,Orb,5
515,Single,211.56,Agent,10,72.2,64.99,[ 160  189 1040  754 1003],87.76,0.5,51.6,Orb,5
516,Double,205.27999999999997,Agent,10,69.6,67.52,[528 393 550 463 454],72.48,0.2,63.2,Level Door,5
517,Double,181.0,Agent,10,64.0,53.85,[528 393 550 463 454],75.0,0.5,42.0,Level Door,5
518,Double,145.61,Agent,10,55.6,37.64,[791 694 624 849 732],63.21,0.2,26.8,Green Door,5
519,Double,134.39999999999998,Agent,10,51.2,6.15,[791 694 624 849 732],80.0,0.5,3.2,Green Door,5
520,Double,154.74,Agent,10,57.4,34.06,[ 855  945 1041  914 1098],75.34,0.2,22.0,Key Door,5
521,Double,149.85000000000002,Agent,10,55.0,22.15,[ 855  945 1041  914 1098],82.05,0.5,12.8,Key Door,5
522,Double,198.91,Agent,10,68.0,55.56,[1114 1127 1255 1280 1316],90.91,0.2,40.0,Other Door,5
523,Double,179.75,Agent,10,60.4,34.87,[1114 1127 1255 1280 1316],98.15,0.5,21.2,Other Door,5
524,Double,147.97,Agent,10,55.6,41.58,[ 327  228  809 1078  265],60.77,0.2,31.6,Key,5
525,Double,141.73,Agent,10,52.4,11.19,[ 327  228  809 1078  265],83.33,0.5,6.0,Key,5
526,Double,221.93,Agent,10,73.8,74.06,[ 599  158  754 1331 1320],73.33,0.2,74.8,Orb,5
527,Double,185.89999999999998,Agent,10,64.0,46.43,[ 599  158  754 1331 1320],90.7,0.5,31.2,Orb,5
528,Triplet,180.92000000000002,Agent,10,64.0,53.13,[510 558 564 451 422],76.12,0.2,40.8,Level Door,5
529,Triplet,141.91,Agent,10,54.4,22.97,[510 558 564 451 422],73.91,0.5,13.6,Level Door,5
530,Triplet,193.07,Agent,10,67.2,59.0,[791 743 754 637 718],78.67,0.2,47.2,Green Door,5
531,Triplet,173.5,Agent,10,60.8,39.13,[791 743 754 637 718],87.5,0.5,25.2,Green Door,5
532,Triplet,151.36999999999998,Agent,10,56.8,33.33,[ 999 1017  955 1040  957],72.97,0.2,21.6,Key Door,5
533,Triplet,144.07,Agent,10,52.2,9.81,[ 999 1017  955 1040  957],86.67,0.5,5.2,Key Door,5
534,Triplet,208.62,Agent,10,70.6,59.95,[1217 1101 1278 1209 1221],94.02,0.2,44.0,Other Door,5
535,Triplet,175.75,Agent,10,59.6,33.11,[1217 1101 1278 1209 1221],96.15,0.5,20.0,Other Door,5
536,Triplet,98.35,Agent,10,49.8,4.56,[ 335  820  239 1066  289],46.15,0.2,2.4,Key,5
537,Triplet,0.0,Agent,10,50.0,0.0,[ 335  820  239 1066  289],0.0,0.5,0.0,Key,5
538,Triplet,175.66000000000003,Agent,10,61.0,38.87,[ 582  755  578  158 1341],89.86,0.2,24.8,Orb,5
539,Triplet,152.55,Agent,10,52.8,11.28,[ 582  755  578  158 1341],93.75,0.5,6.0,Orb,5
540,Single,216.42000000000002,Agent,10,68.4,72.66,[442 572 491 589 367],64.02,0.2,84.0,Level Door,5
541,Single,197.51,Agent,10,68.4,61.27,[442 572 491 589 367],79.11,0.5,50.0,Level Door,5
542,Single,195.36,Agent,10,54.6,65.97,[847 801 627 771 783],52.76,0.2,88.0,Green Door,5
543,Single,190.28,Agent,10,66.2,59.86,[847 801 627 771 783],73.68,0.5,50.4,Green Door,5
544,Single,181.87,Agent,10,55.0,61.93,[ 868 1082  931 1009  855],53.67,0.2,73.2,Key Door,5
545,Single,148.71,Agent,10,56.4,34.34,[ 868 1082  931 1009  855],69.51,0.5,22.8,Key Door,5
546,Single,210.25,Agent,10,66.4,70.73,[1167 1347 1255 1330 1225],62.65,0.2,81.2,Other Door,5
547,Single,195.49,Agent,10,67.2,54.44,[1167 1347 1255 1330 1225],89.09,0.5,39.2,Other Door,5
548,Single,178.47,Agent,10,56.0,60.57,[303 276 231 313 221],54.87,0.2,67.6,Key,5
549,Single,154.48,Agent,10,55.0,20.49,[303 276 231 313 221],87.88,0.5,11.6,Key,5
550,Single,216.4,Agent,10,65.2,72.38,[1022  172 1323  571  169],60.0,0.2,91.2,Orb,5
551,Single,164.72,Agent,10,60.0,44.75,[1022  172 1323  571  169],72.32,0.5,32.4,Orb,5
552,Double,224.86,Agent,10,76.2,72.89,[591 494 559 470 555],84.66,0.2,64.0,Level Door,5
553,Double,179.26,Agent,10,62.6,44.18,[591 494 559 470 555],87.06,0.5,29.6,Level Door,5
554,Double,184.63,Agent,10,63.4,60.13,[648 658 608 654 644],66.03,0.2,55.2,Green Door,5
555,Double,154.62,Agent,10,57.6,36.53,[648 658 608 654 644],72.62,0.5,24.4,Green Door,5
556,Double,153.29,Agent,10,57.4,37.9,[ 949 1073  851 1018  916],69.89,0.2,26.0,Key Door,5
557,Double,150.39999999999998,Agent,10,53.2,13.33,[ 949 1073  851 1018  916],90.0,0.5,7.2,Key Door,5
558,Double,212.57,Agent,10,72.4,69.06,[1150 1184 1118 1144 1215],78.57,0.2,61.6,Other Door,5
559,Double,181.48999999999998,Agent,10,62.4,41.98,[1150 1184 1118 1144 1215],91.89,0.5,27.2,Other Door,5
560,Double,102.18,Agent,10,47.0,20.9,[ 224 1090 1083  847 1097],41.18,0.2,14.0,Key,5
561,Double,93.86,Agent,10,49.8,2.33,[ 224 1090 1083  847 1097],42.86,0.5,1.2,Key,5
562,Double,218.67000000000002,Agent,10,74.4,69.67,[ 563  756 1333  760  564],85.47,0.2,58.8,Orb,5
563,Double,177.6,Agent,10,59.2,31.08,[ 563  756 1333  760  564],100.0,0.5,18.4,Orb,5
564,Triplet,196.93,Agent,10,68.2,59.12,[412 573 421 567 409],82.73,0.2,46.0,Level Door,5
565,Triplet,182.95,Agent,10,62.6,42.11,[412 573 421 567 409],93.15,0.5,27.2,Level Door,5
566,Triplet,183.34000000000003,Agent,10,64.4,50.83,[823 630 837 664 760],82.14,0.2,36.8,Green Door,5
567,Triplet,180.93,Agent,10,63.6,48.29,[823 630 837 664 760],83.33,0.5,34.0,Green Door,5
568,Triplet,140.67,Agent,10,54.8,29.81,[1009  909 1065 1083 1095],66.67,0.2,19.2,Key Door,5
569,Triplet,148.09,Agent,10,52.8,11.94,[1009  909 1065 1083 1095],88.89,0.5,6.4,Key Door,5
570,Triplet,141.10999999999999,Agent,10,54.6,25.57,[1298 1332 1310 1250 1272],70.91,0.2,15.6,Other Door,5
571,Triplet,158.4,Agent,10,52.8,10.61,[1298 1332 1310 1250 1272],100.0,0.5,5.6,Other Door,5
572,Triplet,150.49,Agent,10,56.8,36.47,[ 262  223  321  345 1054],68.89,0.2,24.8,Key,5
573,Triplet,137.72,Agent,10,52.8,14.49,[ 262  223  321  345 1054],76.92,0.5,8.0,Key,5
574,Triplet,177.6,Agent,10,59.2,31.08,[ 174  569  151  583 1308],100.0,0.2,18.4,Orb,5
575,Triplet,156.0,Agent,10,52.0,7.69,[ 174  569  151  583 1308],100.0,0.5,4.0,Orb,5
576,Single,223.4,Agent,10,66.2,74.2,[428 427 472 432 416],60.0,0.2,97.2,Level Door,5
577,Single,212.73000000000002,Agent,10,72.6,66.01,[428 427 472 432 416],86.93,0.5,53.2,Level Door,5
578,Single,198.7,Agent,10,58.4,67.09,[833 640 693 775 766],55.5,0.2,84.8,Green Door,5
579,Single,146.25,Agent,10,54.0,43.9,[833 640 693 775 766],56.25,0.5,36.0,Green Door,5
580,Single,170.2,Agent,10,54.0,57.72,[ 997  986  992  952 1049],53.4,0.2,62.8,Key Door,5
581,Single,159.47,Agent,10,58.2,34.89,[ 997  986  992  952 1049],78.87,0.5,22.4,Key Door,5
582,Single,204.38,Agent,10,64.4,68.88,[1165 1298 1326 1341 1123],61.18,0.2,78.8,Other Door,5
583,Single,163.0,Agent,10,59.4,40.12,[1165 1298 1326 1341 1123],76.4,0.5,27.2,Other Door,5
584,Single,179.71,Agent,10,57.4,60.77,[1062  848  831 1067  311],56.31,0.2,66.0,Key,5
585,Single,123.41,Agent,10,51.6,25.31,[1062  848  831 1067  311],55.41,0.5,16.4,Key,5
586,Single,222.06,Agent,10,67.2,74.05,[ 181  154  185 1008  794],61.26,0.2,93.6,Orb,5
587,Single,224.36,Agent,10,76.0,73.09,[ 181  154  185 1008  794],83.16,0.5,65.2,Orb,5
588,Double,225.28,Agent,10,76.2,71.05,[598 586 404 446 468],90.68,0.2,58.4,Level Door,5
589,Double,188.78000000000003,Agent,10,65.2,50.0,[598 586 404 446 468],88.78,0.5,34.8,Level Door,5
590,Double,182.21,Agent,10,63.2,58.56,[764 734 741 637 619],67.01,0.2,52.0,Green Door,5
591,Double,179.18,Agent,10,63.4,49.31,[764 734 741 637 619],80.18,0.5,35.6,Green Door,5
592,Double,150.54999999999998,Agent,10,56.8,37.93,[ 926 1007  975  894  908],67.35,0.2,26.4,Key Door,5
593,Double,143.68,Agent,10,53.4,15.88,[ 926 1007  975  894  908],81.48,0.5,8.8,Key Door,5
594,Double,133.24,Agent,10,51.8,36.75,[1333 1161 1107 1302 1204],53.44,0.2,28.0,Other Door,5
595,Double,134.71,Agent,10,53.6,30.54,[1333 1161 1107 1302 1204],60.71,0.5,20.4,Other Door,5
596,Double,176.14000000000001,Agent,10,62.6,53.13,[ 224  326  235  256 1089],71.14,0.2,42.4,Key,5
597,Double,144.17999999999998,Agent,10,55.0,25.74,[ 224  326  235  256 1089],73.58,0.5,15.6,Key,5
598,Double,207.66000000000003,Agent,10,69.8,68.86,[ 587 1016 1019  161 1312],71.06,0.2,66.8,Orb,5
599,Double,164.39000000000001,Agent,10,59.8,41.74,[ 587 1016 1019  161 1312],75.79,0.5,28.8,Orb,5
600,Triplet,198.7,Agent,10,68.4,57.75,[585 433 564 589 374],87.1,0.2,43.2,Level Door,5
601,Triplet,160.8,Agent,10,56.4,24.83,[585 433 564 589 374],90.0,0.5,14.4,Level Door,5
602,Triplet,179.37,Agent,10,63.6,52.6,[732 779 712 746 666],75.37,0.2,40.4,Green Door,5
603,Triplet,177.54999999999998,Agent,10,60.8,37.18,[732 779 712 746 666],93.55,0.5,23.2,Green Door,5
604,Triplet,138.0,Agent,10,54.0,23.33,[ 876 1087  883  896  978],70.0,0.2,14.0,Key Door,5
605,Triplet,121.67,Agent,10,51.0,7.55,[ 876 1087  883  896  978],66.67,0.5,4.0,Key Door,5
606,Triplet,185.4,Agent,10,61.8,38.19,[1120 1308 1229 1140 1255],100.0,0.2,23.6,Other Door,5
607,Triplet,169.20000000000002,Agent,10,56.4,22.7,[1120 1308 1229 1140 1255],100.0,0.5,12.8,Other Door,5
608,Triplet,152.4,Agent,10,50.8,3.15,[ 229  327 1093  332  207],100.0,0.2,1.6,Key,5
609,Triplet,150.6,Agent,10,50.2,0.8,[ 229  327 1093  332  207],100.0,0.5,0.4,Key,5
610,Triplet,171.55,Agent,10,61.2,52.22,[1005 1327  199  561 1020],67.95,0.2,42.4,Orb,5
611,Triplet,155.83,Agent,10,57.2,31.41,[1005 1327  199  561 1020],79.03,0.5,19.6,Orb,5
612,Single,230.08,Agent,10,71.2,76.62,[372 527 573 563 391],64.48,0.2,94.4,Level Door,5
613,Single,228.33,Agent,10,77.2,72.98,[372 527 573 563 391],89.53,0.5,61.6,Level Door,5
614,Single,192.95,Agent,10,53.6,65.27,[848 822 770 630 763],52.15,0.2,87.2,Green Door,5
615,Single,173.88000000000002,Agent,10,62.2,50.39,[848 822 770 630 763],73.28,0.5,38.4,Green Door,5
616,Single,202.61,Agent,10,62.4,68.35,[1079  957  949  929 1082],59.01,0.2,81.2,Key Door,5
617,Single,170.52,Agent,10,60.2,38.01,[1079  957  949  929 1082],85.92,0.5,24.4,Key Door,5
618,Single,195.85999999999999,Agent,10,57.4,66.25,[1247 1270 1171 1201 1130],54.86,0.2,83.6,Other Door,5
619,Single,183.5,Agent,10,64.6,55.64,[1247 1270 1171 1201 1130],74.5,0.5,44.4,Other Door,5
620,Single,156.58,Agent,10,44.2,54.33,[ 841  323 1076  327 1051],45.98,0.2,66.4,Key,5
621,Single,87.04,Agent,10,45.4,13.88,[ 841  323 1076  327 1051],32.84,0.5,8.8,Key,5
622,Single,230.64999999999998,Agent,10,72.0,76.9,[ 790  796  553  551 1035],65.45,0.2,93.2,Orb,5
623,Single,217.76,Agent,10,74.0,67.82,[ 790  796  553  551 1035],88.96,0.5,54.8,Orb,5
624,Double,237.18,Agent,10,79.8,78.19,[434 378 493 484 493],84.98,0.2,72.4,Level Door,5
625,Double,193.07,Agent,10,66.6,53.48,[434 378 493 484 493],88.07,0.5,38.4,Level Door,5
626,Double,178.23000000000002,Agent,10,62.4,56.48,[846 698 771 707 833],67.03,0.2,48.8,Green Door,5
627,Double,135.82,Agent,10,53.2,18.18,[846 698 771 707 833],72.22,0.5,10.4,Green Door,5
628,Double,133.38,Agent,10,53.2,20.41,[1075  967 1064 1074 1049],68.18,0.2,12.0,Key Door,5
629,Double,112.89000000000001,Agent,10,50.6,8.18,[1075  967 1064 1074 1049],57.89,0.5,4.4,Key Door,5
630,Double,138.56,Agent,10,53.0,38.96,[1108 1145 1191 1142 1130],55.56,0.2,30.0,Other Door,5
631,Double,137.38,Agent,10,54.2,29.1,[1108 1145 1191 1142 1130],64.38,0.5,18.8,Other Door,5
632,Double,69.05,Agent,10,39.0,12.1,[ 836 1083  332  349  320],21.65,0.2,8.4,Key,5
633,Double,0.0,Agent,10,50.0,0.0,[ 836 1083  332  349  320],0.0,0.5,0.0,Key,5
634,Double,228.39999999999998,Agent,10,77.2,74.67,[1307 1310  195  176 1030],84.0,0.2,67.2,Orb,5
635,Double,164.57,Agent,10,55.8,21.35,[1307 1310  195  176 1030],96.77,0.5,12.0,Orb,5
636,Triplet,211.65,Agent,10,71.8,62.8,[455 493 569 506 545],92.25,0.2,47.6,Level Door,5
637,Triplet,156.6,Agent,10,52.2,8.43,[455 493 569 506 545],100.0,0.5,4.4,Level Door,5
638,Triplet,153.93,Agent,10,56.8,30.32,[780 836 672 629 798],78.33,0.2,18.8,Green Door,5
639,Triplet,154.44,Agent,10,53.2,12.69,[780 836 672 629 798],94.44,0.5,6.8,Green Door,5
640,Triplet,147.98,Agent,10,55.8,28.48,[ 879  908  907 1018 1012],74.58,0.2,17.6,Key Door,5
641,Triplet,140.15,Agent,10,52.2,10.49,[ 879  908  907 1018 1012],82.35,0.5,5.6,Key Door,5
642,Triplet,192.45,Agent,10,65.4,48.66,[1272 1339 1186 1222 1150],94.25,0.2,32.8,Other Door,5
643,Triplet,160.2,Agent,10,54.6,17.45,[1272 1339 1186 1222 1150],96.0,0.5,9.6,Other Door,5
644,Triplet,144.7,Agent,10,55.6,32.73,[ 261  243 1055  272 1087],67.5,0.2,21.6,Key,5
645,Triplet,144.17999999999998,Agent,10,54.2,20.21,[ 261  243 1055  272 1087],78.38,0.5,11.6,Key,5
646,Triplet,176.69,Agent,10,62.8,48.33,[1341 1049  783  563  176],79.09,0.2,34.8,Orb,5
647,Triplet,139.16,Agent,10,53.4,17.67,[1341 1049  783  563  176],75.76,0.5,10.0,Orb,5
648,Single,217.09,Agent,10,61.4,71.99,[517 535 352 575 433],56.49,0.2,99.2,Level Door,5
649,Single,213.86,Agent,10,73.0,68.24,[517 535 352 575 433],82.86,0.5,58.0,Level Door,5
650,Single,197.17000000000002,Agent,10,55.0,66.47,[666 618 805 705 841],52.97,0.2,89.2,Green Door,5
651,Single,179.76999999999998,Agent,10,63.6,54.27,[666 618 805 705 841],72.97,0.5,43.2,Green Door,5
652,Single,202.18,Agent,10,60.6,68.17,[ 958  940 1083  877 1055],57.18,0.2,84.4,Key Door,5
653,Single,144.41,Agent,10,55.2,27.27,[ 958  940 1083  877 1055],72.41,0.5,16.8,Key Door,5
654,Single,200.39,Agent,10,61.0,67.66,[1192 1201 1261 1150 1275],57.79,0.2,81.6,Other Door,5
655,Single,192.42,Agent,10,66.0,51.15,[1192 1201 1261 1150 1275],90.82,0.5,35.6,Other Door,5
656,Single,181.7,Agent,10,50.8,62.04,[801 323 331 330 849],50.5,0.2,80.4,Key,5
657,Single,153.49,Agent,10,57.4,40.34,[801 323 331 330 849],67.29,0.5,28.8,Key,5
658,Single,217.45000000000002,Agent,10,64.2,72.5,[ 770  560 1033 1333  153],58.85,0.2,94.4,Orb,5
659,Single,210.07,Agent,10,71.4,62.27,[ 770  560 1033 1333  153],91.47,0.5,47.2,Orb,5
660,Double,227.65000000000003,Agent,10,76.4,75.52,[471 354 497 500 353],78.45,0.2,72.8,Level Door,5
661,Double,152.93,Agent,10,55.6,23.97,[471 354 497 500 353],83.33,0.5,14.0,Level Door,5
662,Double,143.4,Agent,10,53.2,42.93,[829 816 772 758 750],55.0,0.2,35.2,Green Door,5
663,Double,131.08,Agent,10,51.8,10.41,[829 816 772 758 750],73.68,0.5,5.6,Green Door,5
664,Double,167.53,Agent,10,60.6,44.19,[913 961 997 981 985],75.73,0.2,31.2,Key Door,5
665,Double,134.57,Agent,10,51.6,8.33,[913 961 997 981 985],78.57,0.5,4.4,Key Door,5
666,Double,142.65,Agent,10,55.2,32.12,[1344 1333 1156 1232 1106],66.25,0.2,21.2,Other Door,5
667,Double,126.93,Agent,10,51.0,6.13,[1344 1333 1156 1232 1106],72.73,0.5,3.2,Other Door,5
668,Double,140.77,Agent,10,54.2,37.6,[247 212 322 300 201],58.97,0.2,27.6,Key,5
669,Double,119.67000000000002,Agent,10,50.6,4.63,[247 212 322 300 201],66.67,0.5,2.4,Key,5
670,Double,195.89999999999998,Agent,10,67.2,63.56,[ 175 1313  590 1340 1338],71.5,0.2,57.2,Orb,5
671,Double,161.82,Agent,10,58.4,34.18,[ 175 1313  590 1340 1338],81.82,0.5,21.6,Orb,5
672,Triplet,198.91,Agent,10,68.0,55.56,[491 444 450 425 507],90.91,0.2,40.0,Level Door,5
673,Triplet,185.41000000000003,Agent,10,62.2,39.62,[491 444 450 425 507],98.41,0.5,24.8,Level Door,5
674,Triplet,163.08,Agent,10,59.6,42.94,[762 763 813 688 654],73.08,0.2,30.4,Green Door,5
675,Triplet,93.86,Agent,10,49.8,2.33,[762 763 813 688 654],42.86,0.5,1.2,Green Door,5
676,Triplet,151.60999999999999,Agent,10,56.8,32.92,[ 923  959  909 1018  964],73.61,0.2,21.2,Key Door,5
677,Triplet,133.03,Agent,10,53.0,18.69,[ 923  959  909 1018  964],69.23,0.5,10.8,Key Door,5
678,Triplet,202.95,Agent,10,68.6,55.52,[1109 1296 1175 1287 1289],95.15,0.2,39.2,Other Door,5
679,Triplet,181.01,Agent,10,60.8,35.95,[1109 1296 1175 1287 1289],98.21,0.5,22.0,Other Door,5
680,Triplet,148.61999999999998,Agent,10,56.4,36.63,[ 218  843  269  315 1065],67.02,0.2,25.2,Key,5
681,Triplet,114.28,Agent,10,50.8,13.38,[ 218  843  269  315 1065],55.88,0.5,7.6,Key,5
682,Triplet,153.47,Agent,10,56.4,45.5,[1304 1311 1044  776 1333],60.67,0.2,36.4,Orb,5
683,Triplet,140.35000000000002,Agent,10,54.4,24.5,[1304 1311 1044  776 1333],71.15,0.5,14.8,Orb,5
684,Single,214.1,Agent,10,61.6,71.34,[426 416 419 403 436],56.9,0.2,95.6,Level Door,5
685,Single,223.45000000000002,Agent,10,75.8,72.06,[426 416 419 403 436],85.25,0.5,62.4,Level Door,5
686,Single,197.56,Agent,10,55.0,66.57,[682 704 794 813 683],52.96,0.2,89.6,Green Door,5
687,Single,181.35999999999999,Agent,10,62.8,58.48,[682 704 794 813 683],66.16,0.5,52.4,Green Door,5
688,Single,196.51,Agent,10,61.0,66.44,[ 981  959 1098  859  851],58.31,0.2,77.2,Key Door,5
689,Single,145.88,Agent,10,55.6,29.3,[ 981  959 1098  859  851],71.88,0.5,18.4,Key Door,5
690,Single,198.59,Agent,10,59.8,67.11,[1211 1166 1251 1208 1202],56.79,0.2,82.0,Other Door,5
691,Single,214.27999999999997,Agent,10,72.6,64.23,[1211 1166 1251 1208 1202],92.48,0.5,49.2,Other Door,5
692,Single,164.66,Agent,10,49.0,56.56,[ 837  803 1054  321  348],49.26,0.2,66.4,Key,5
693,Single,135.32,Agent,10,51.4,39.4,[ 837  803 1054  321  348],52.32,0.5,31.6,Key,5
694,Single,214.05,Agent,10,62.0,71.39,[1028  784  183  775  157],57.25,0.2,94.8,Orb,5
695,Single,189.85000000000002,Agent,10,66.2,59.08,[1028  784  183  775  157],74.85,0.5,48.8,Orb,5
696,Double,237.48999999999998,Agent,10,80.0,77.17,[488 571 552 411 414],89.89,0.2,67.6,Level Door,5
697,Double,196.79999999999998,Agent,10,65.6,47.56,[488 571 552 411 414],100.0,0.5,31.2,Level Door,5
698,Double,191.71,Agent,10,64.0,63.85,[761 714 654 631 729],64.11,0.2,63.6,Green Door,5
699,Double,184.01,Agent,10,64.8,54.17,[761 714 654 631 729],77.61,0.5,41.6,Green Door,5
700,Double,157.87,Agent,10,57.6,47.0,[1067  894  952  942  983],62.67,0.2,37.6,Key Door,5
701,Double,156.37,Agent,10,55.4,21.75,[1067  894  952  942  983],88.57,0.5,12.4,Key Door,5
702,Double,152.99,Agent,10,57.2,41.21,[1323 1131 1281 1341 1326],65.79,0.2,30.0,Other Door,5
703,Double,144.94,Agent,10,53.6,16.55,[1323 1131 1281 1341 1326],82.14,0.5,9.2,Other Door,5
704,Double,153.51999999999998,Agent,10,57.2,33.95,[349 287 212 237 248],74.32,0.2,22.0,Key,5
705,Double,141.74,Agent,10,53.8,18.95,[349 287 212 237 248],77.14,0.5,10.8,Key,5
706,Double,239.32,Agent,10,79.8,79.76,[1349 1320  755  573 1032],79.92,0.2,79.6,Orb,5
707,Double,169.73,Agent,10,60.6,40.84,[1349 1320  755  573 1032],81.93,0.5,27.2,Orb,5
708,Triplet,178.95,Agent,10,61.2,38.22,[355 474 458 440 475],93.75,0.2,24.0,Level Door,5
709,Triplet,154.79999999999998,Agent,10,51.6,6.2,[355 474 458 440 475],100.0,0.5,3.2,Level Door,5
710,Triplet,190.11,Agent,10,66.4,56.7,[688 732 728 781 822],79.71,0.2,44.0,Green Door,5
711,Triplet,168.29,Agent,10,60.6,42.56,[688 732 728 781 822],78.49,0.5,29.2,Green Door,5
712,Triplet,134.88,Agent,10,52.0,37.82,[ 921  884 1001 1025  984],53.68,0.2,29.2,Key Door,5
713,Triplet,94.89000000000001,Agent,10,47.6,13.82,[ 921  884 1001 1025  984],38.89,0.5,8.4,Key Door,5
714,Triplet,176.39999999999998,Agent,10,61.2,39.38,[1211 1106 1259 1298 1123],90.0,0.2,25.2,Other Door,5
715,Triplet,155.33999999999997,Agent,10,53.4,13.38,[1211 1106 1259 1298 1123],94.74,0.5,7.2,Other Door,5
716,Triplet,80.37,Agent,10,44.6,11.5,[834 849 336 841 208],28.57,0.2,7.2,Key,5
717,Triplet,75.0,Agent,10,49.2,1.55,[834 849 336 841 208],25.0,0.5,0.8,Key,5
718,Triplet,153.39,Agent,10,57.4,37.17,[ 759  183 1342 1027 1338],70.79,0.2,25.2,Orb,5
719,Triplet,137.15,Agent,10,52.2,11.15,[ 759  183 1342 1027 1338],78.95,0.5,6.0,Orb,5
720,Single,236.02,Agent,10,73.0,78.33,[389 435 535 386 464],65.42,0.2,97.6,Level Door,5
721,Single,231.69,Agent,10,78.2,74.35,[389 435 535 386 464],90.29,0.5,63.2,Level Door,5
722,Single,195.47,Agent,10,55.6,66.06,[766 728 689 761 735],53.47,0.2,86.4,Green Door,5
723,Single,194.97,Agent,10,67.0,63.09,[766 728 689 761 735],71.57,0.5,56.4,Green Door,5
724,Single,189.62,Agent,10,56.4,64.38,[ 873 1056  852  873 1036],54.42,0.2,78.8,Key Door,5
725,Single,141.63,Agent,10,55.0,31.19,[ 873 1056  852  873 1036],66.23,0.5,20.4,Key Door,5
726,Single,195.24,Agent,10,55.0,65.96,[1147 1278 1283 1343 1133],53.04,0.2,87.2,Other Door,5
727,Single,92.4,Agent,10,49.2,5.93,[1147 1278 1283 1343 1133],40.0,0.5,3.2,Other Door,5
728,Single,173.92000000000002,Agent,10,45.4,59.79,[ 831  245 1066  208  223],47.32,0.2,81.2,Key,5
729,Single,90.36999999999999,Agent,10,47.4,11.45,[ 831  245 1066  208  223],36.17,0.5,6.8,Key,5
730,Single,217.45,Agent,10,64.4,72.53,[ 158 1333 1000  767  160],59.05,0.2,94.0,Orb,5
731,Single,192.42000000000002,Agent,10,67.0,59.26,[ 158 1333 1000  767  160],77.42,0.5,48.0,Orb,5
732,Double,215.30999999999997,Agent,10,72.6,71.16,[553 547 524 350 569],75.11,0.2,67.6,Level Door,5
733,Double,195.56,Agent,10,67.8,58.18,[553 547 524 350 569],82.96,0.5,44.8,Level Door,5
734,Double,172.6,Agent,10,60.8,54.42,[739 821 694 637 687],65.0,0.2,46.8,Green Door,5
735,Double,148.24,Agent,10,56.0,29.94,[739 821 694 637 687],73.44,0.5,18.8,Green Door,5
736,Double,179.67000000000002,Agent,10,63.4,55.26,[ 984 1079  898 1062  963],71.07,0.2,45.2,Key Door,5
737,Double,136.45000000000002,Agent,10,53.6,21.09,[ 984 1079  898 1062  963],70.45,0.5,12.4,Key Door,5
738,Double,194.89999999999998,Agent,10,65.8,64.45,[1324 1248 1150 1238 1214],67.1,0.2,62.0,Other Door,5
739,Double,169.51999999999998,Agent,10,59.4,34.73,[1324 1248 1150 1238 1214],88.52,0.5,21.6,Other Door,5
740,Double,130.17,Agent,10,52.6,17.42,[ 211  215  242 1094  808],67.57,0.2,10.0,Key,5
741,Double,108.94,Agent,10,50.2,3.11,[ 211  215  242 1094  808],57.14,0.5,1.6,Key,5
742,Double,197.20999999999998,Agent,10,68.2,58.49,[ 173  199  150 1311  166],84.21,0.2,44.8,Orb,5
743,Double,180.86,Agent,10,62.0,40.63,[ 173  199  150 1311  166],92.86,0.5,26.0,Orb,5
744,Triplet,190.23000000000002,Agent,10,66.2,54.2,[396 527 579 552 588],84.03,0.2,40.0,Level Door,5
745,Triplet,165.62,Agent,10,59.0,34.92,[396 527 579 552 588],84.62,0.5,22.0,Level Door,5
746,Triplet,179.95,Agent,10,63.4,55.69,[794 685 818 637 835],70.55,0.2,46.0,Green Door,5
747,Triplet,177.89999999999998,Agent,10,61.4,39.5,[794 685 818 637 835],91.3,0.5,25.2,Green Door,5
748,Triplet,145.48,Agent,10,55.4,27.83,[ 930  980  929 1034  959],72.88,0.2,17.2,Key Door,5
749,Triplet,144.60000000000002,Agent,10,52.8,12.59,[ 930  980  929 1034  959],85.0,0.5,6.8,Key Door,5
750,Triplet,164.87,Agent,10,59.6,39.16,[1146 1126 1150 1235 1202],79.27,0.2,26.0,Other Door,5
751,Triplet,168.70000000000002,Agent,10,57.0,25.09,[1146 1126 1150 1235 1202],97.3,0.5,14.4,Other Door,5
