,Recall,Concept,Precision,F1Score,NumExp,Pattern Complexity,CPR,Encoding,Examples,TH,Accuracy,PC
48,50.8,Key Door,47.92,49.32,5,,146.51999999999998,Random,[ 983 1068  900 1083  883],0.2,47.8,10.0
49,16.4,Key Door,44.57,23.98,5,,108.97,Random,[ 983 1068  900 1083  883],0.5,48.0,10.0
50,58.8,Other Door,50.0,54.04,5,,158.8,Random,[1319 1329 1278 1303 1290],0.2,50.0,10.0
51,18.4,Other Door,45.1,26.14,5,,111.5,Random,[1319 1329 1278 1303 1290],0.5,48.0,10.0
52,59.6,Key,49.5,54.08,5,,158.5,Random,[326 807 837 203 237],0.2,49.4,10.0
53,22.8,Key,58.16,32.76,5,,134.16,Random,[326 807 837 203 237],0.5,53.2,10.0
54,66.4,Orb,50.15,57.14,5,,166.75,Random,[1348  579  164  164 1300],0.2,50.2,10.0
55,15.2,Orb,51.35,23.46,5,,116.95,Random,[1348  579  164  164 1300],0.5,50.4,10.0
56,31.71,No Door,43.53,36.69,5,,120.53,Agent,[190 338 262 239 181],0.2,45.29,10.0
57,1.71,No Door,17.14,3.11,5,,65.56,Agent,[190 338 262 239 181],0.5,46.71,10.0
58,80.0,Level Door,82.3,81.13,5,,243.7,Agent,[397 577 509 535 565],0.2,81.4,10.0
59,40.8,Level Door,82.26,54.55,5,,189.06,Agent,[397 577 509 535 565],0.5,66.0,10.0
60,66.0,Green Door,67.07,66.53,5,,199.87,Agent,[780 644 705 771 822],0.2,66.8,10.0
61,40.0,Green Door,73.53,51.81,5,,176.32999999999998,Agent,[780 644 705 771 822],0.5,62.8,10.0
62,22.8,Key Door,76.0,35.08,5,,156.60000000000002,Agent,[ 914  898  857 1046  963],0.2,57.8,10.0
63,8.8,Key Door,88.0,16.0,5,,150.60000000000002,Agent,[ 914  898  857 1046  963],0.5,53.8,10.0
64,33.6,Other Door,85.71,48.28,5,,183.30999999999997,Agent,[1329 1207 1300 1311 1165],0.2,64.0,10.0
65,13.2,Other Door,97.06,23.24,5,,166.66,Agent,[1329 1207 1300 1311 1165],0.5,56.4,10.0
66,6.8,Key,35.42,11.41,5,,89.42,Agent,[1098 1052  801  315  319],0.2,47.2,10.0
67,2.0,Key,55.56,3.86,5,,107.76,Agent,[1098 1052  801  315  319],0.5,50.2,10.0
68,50.0,Orb,60.98,54.95,5,,169.98,Agent,[ 168  784 1342  756  785],0.2,59.0,10.0
69,19.2,Orb,53.93,28.32,5,,124.53,Agent,[ 168  784 1342  756  785],0.5,51.4,10.0
70,56.57,No Door,64.29,60.18,5,,183.43,Autoencoder,[ 51 267 190 231   8],0.2,62.57,10.0
71,28.57,No Door,70.42,40.65,5,,157.28,Autoencoder,[ 51 267 190 231   8],0.5,58.29,10.0
72,68.0,Level Door,53.8,60.07,5,,176.6,Autoencoder,[367 448 561 533 563],0.2,54.8,10.0
73,45.6,Level Door,61.96,52.54,5,,166.35999999999999,Autoencoder,[367 448 561 533 563],0.5,58.8,10.0
74,55.2,Green Door,51.88,53.49,5,,159.07999999999998,Autoencoder,[825 733 612 644 620],0.2,52.0,10.0
75,28.4,Green Door,52.21,36.79,5,,131.81,Autoencoder,[825 733 612 644 620],0.5,51.2,10.0
76,70.8,Key Door,59.6,64.72,5,,191.8,Autoencoder,[ 927 1023 1027 1068  901],0.2,61.4,10.0
77,52.0,Key Door,66.67,58.43,5,,181.67000000000002,Autoencoder,[ 927 1023 1027 1068  901],0.5,63.0,10.0
78,70.8,Other Door,60.82,65.43,5,,194.22,Autoencoder,[1161 1236 1198 1330 1270],0.2,62.6,10.0
79,41.6,Other Door,62.28,49.88,5,,162.08,Autoencoder,[1161 1236 1198 1330 1270],0.5,58.2,10.0
80,64.0,Key,46.38,53.78,5,,155.38,Autoencoder,[278 288 848 841 800],0.2,45.0,10.0
81,16.8,Key,43.75,24.28,5,,108.14999999999999,Autoencoder,[278 288 848 841 800],0.5,47.6,10.0
82,65.6,Orb,60.29,62.83,5,,187.09,Autoencoder,[1315 1310 1049  166  790],0.2,61.2,10.0
83,38.8,Orb,69.29,49.74,5,,168.89,Autoencoder,[1315 1310 1049  166  790],0.5,60.8,10.0
84,60.0,No Door,80.77,68.85,5,,213.63,Classifier,[ 92 284 303 289 206],0.2,72.86,10.0
85,36.29,No Door,86.39,51.11,5,,187.97,Classifier,[ 92 284 303 289 206],0.5,65.29,10.0
86,82.8,Level Door,70.41,76.1,5,,227.20999999999998,Classifier,[560 410 367 452 408],0.2,74.0,10.0
87,66.8,Level Door,84.34,74.55,5,,228.34000000000003,Classifier,[560 410 367 452 408],0.5,77.2,10.0
88,46.8,Green Door,63.24,53.79,5,,169.83999999999997,Classifier,[804 800 761 691 719],0.2,59.8,10.0
89,18.0,Green Door,88.24,29.9,5,,164.04,Classifier,[804 800 761 691 719],0.5,57.8,10.0
90,60.0,Key Door,64.1,61.98,5,,187.3,Classifier,[ 963  990 1008  933  851],0.2,63.2,10.0
91,20.4,Key Door,78.46,32.38,5,,156.26,Classifier,[ 963  990 1008  933  851],0.5,57.4,10.0
92,83.6,Other Door,68.75,75.45,5,,225.15,Classifier,[1182 1269 1159 1187 1123],0.2,72.8,10.0
93,54.8,Other Door,91.95,68.67,5,,221.75,Classifier,[1182 1269 1159 1187 1123],0.5,75.0,10.0
94,57.2,Key,54.37,55.75,5,,166.17000000000002,Classifier,[ 842  825 1070  332  217],0.2,54.6,10.0
95,8.0,Key,64.52,14.23,5,,124.32,Classifier,[ 842  825 1070  332  217],0.5,51.8,10.0
96,66.4,Orb,63.36,64.84,5,,193.76,Classifier,[ 562  198 1320 1338  582],0.2,64.0,10.0
97,34.0,Orb,74.56,46.7,5,,169.76,Classifier,[ 562  198 1320 1338  582],0.5,61.2,10.0
98,65.43,No Door,50.78,57.18,5,,167.21,Random,[ 36 248 252 155  38],0.2,51.0,10.0
99,18.0,No Door,48.84,26.31,5,,116.41,Random,[ 36 248 252 155  38],0.5,49.57,10.0
100,59.6,Level Door,49.67,54.18,5,,158.87,Random,[585 356 477 422 442],0.2,49.6,10.0
101,14.0,Level Door,45.45,21.41,5,,108.05000000000001,Random,[585 356 477 422 442],0.5,48.6,10.0
102,58.4,Green Door,51.77,54.89,5,,162.17000000000002,Random,[638 682 791 728 646],0.2,52.0,10.0
103,18.0,Green Door,55.56,27.19,5,,125.36,Random,[638 682 791 728 646],0.5,51.8,10.0
104,42.0,Key Door,49.53,45.46,5,,141.13,Random,[ 937  916  921 1034  866],0.2,49.6,10.0
105,14.8,Key Door,47.44,22.56,5,,111.44,Random,[ 937  916  921 1034  866],0.5,49.2,10.0
106,63.6,Other Door,50.96,56.58,5,,165.76,Random,[1210 1196 1331 1344 1297],0.2,51.2,10.0
107,16.8,Other Door,51.85,25.38,5,,119.25,Random,[1210 1196 1331 1344 1297],0.5,50.6,10.0
108,64.4,Key,51.11,56.99,5,,166.91,Random,[223 260 277 253 221],0.2,51.4,10.0
109,20.4,Key,60.0,30.45,5,,133.8,Random,[223 260 277 253 221],0.5,53.4,10.0
110,42.4,Orb,49.77,45.79,5,,141.97,Random,[ 765 1300  795  174  586],0.2,49.8,10.0
111,17.2,Orb,50.0,25.6,5,,117.2,Random,[ 765 1300  795  174  586],0.5,50.0,10.0
112,24.0,No Door,60.87,34.43,5,,139.16,Agent,[ 45 110  19 201  45],0.2,54.29,10.0
113,12.57,No Door,66.67,21.15,5,,132.38,Agent,[ 45 110  19 201  45],0.5,53.14,10.0
114,58.0,Level Door,75.92,65.76,5,,203.72,Agent,[380 373 592 415 433],0.2,69.8,10.0
115,26.8,Level Door,88.16,41.1,5,,176.56,Agent,[380 373 592 415 433],0.5,61.6,10.0
116,51.2,Green Door,64.65,57.14,5,,177.45,Agent,[738 666 600 606 830],0.2,61.6,10.0
117,18.8,Green Door,74.6,30.03,5,,149.60000000000002,Agent,[738 666 600 606 830],0.5,56.2,10.0
118,27.6,Key Door,52.67,36.22,5,,131.67,Agent,[905 886 993 850 954],0.2,51.4,10.0
119,6.0,Key Door,68.18,11.03,5,,125.78,Agent,[905 886 993 850 954],0.5,51.6,10.0
120,57.2,Other Door,61.11,59.09,5,,178.70999999999998,Agent,[1346 1287 1330 1242 1201],0.2,60.4,10.0
121,20.0,Other Door,84.75,32.36,5,,162.95,Agent,[1346 1287 1330 1242 1201],0.5,58.2,10.0
122,34.8,Key,73.73,47.28,5,,169.73000000000002,Agent,[1081  316  279  271  249],0.2,61.2,10.0
123,7.2,Key,75.0,13.14,5,,134.6,Agent,[1081  316  279  271  249],0.5,52.4,10.0
124,69.2,Orb,77.93,73.31,5,,221.93,Agent,[1041  585  198  174 1003],0.2,74.8,10.0
125,28.0,Orb,87.5,42.42,5,,177.5,Agent,[1041  585  198  174 1003],0.5,62.0,10.0
126,60.0,No Door,53.85,56.76,5,,168.14,Autoencoder,[121 302 154 229 210],0.2,54.29,10.0
127,26.86,No Door,54.97,36.09,5,,134.26,Autoencoder,[121 302 154 229 210],0.5,52.43,10.0
128,60.0,Level Door,51.55,55.45,5,,163.35,Autoencoder,[372 550 368 579 427],0.2,51.8,10.0
129,24.0,Level Door,52.17,32.88,5,,127.17,Autoencoder,[372 550 368 579 427],0.5,51.0,10.0
130,48.8,Green Door,49.8,49.29,5,,148.39999999999998,Autoencoder,[730 684 743 648 696],0.2,49.8,10.0
131,25.2,Green Door,53.39,34.24,5,,130.19,Autoencoder,[730 684 743 648 696],0.5,51.6,10.0
132,34.8,Key Door,46.28,39.73,5,,128.28,Autoencoder,[1043  865  978 1032  960],0.2,47.2,10.0
133,17.2,Key Door,39.45,23.96,5,,102.05,Autoencoder,[1043  865  978 1032  960],0.5,45.4,10.0
134,70.8,Other Door,62.99,66.67,5,,198.39,Autoencoder,[1208 1266 1247 1298 1185],0.2,64.6,10.0
135,46.4,Other Door,71.17,56.18,5,,181.37,Autoencoder,[1208 1266 1247 1298 1185],0.5,63.8,10.0
136,66.8,Key,49.55,56.9,5,,165.75,Autoencoder,[ 808  826 1087  205  247],0.2,49.4,10.0
137,13.2,Key,39.29,19.76,5,,98.89,Autoencoder,[ 808  826 1087  205  247],0.5,46.4,10.0
138,73.6,Orb,64.11,68.53,5,,203.91,Autoencoder,[ 567 1019  783  559  155],0.2,66.2,10.0
139,46.4,Orb,69.46,55.64,5,,178.85999999999999,Autoencoder,[ 567 1019  783  559  155],0.5,63.0,10.0
140,54.0,No Door,64.29,58.7,5,,180.29000000000002,Classifier,[235 342 159  75 243],0.2,62.0,10.0
141,20.29,No Door,86.59,32.88,5,,165.45,Classifier,[235 342 159  75 243],0.5,58.57,10.0
142,82.8,Level Door,71.13,76.52,5,,228.52999999999997,Classifier,[420 555 350 485 526],0.2,74.6,10.0
143,62.8,Level Door,82.63,71.36,5,,220.23000000000002,Classifier,[420 555 350 485 526],0.5,74.8,10.0
144,68.0,Green Door,65.38,66.66,5,,199.38,Classifier,[734 675 654 603 825],0.2,66.0,10.0
145,21.2,Green Door,73.61,32.92,5,,151.60999999999999,Classifier,[734 675 654 603 825],0.5,56.8,10.0
146,54.4,Key Door,66.34,59.78,5,,184.14000000000001,Classifier,[ 906  937 1050  856  993],0.2,63.4,10.0
147,40.4,Key Door,76.52,52.88,5,,180.92,Classifier,[ 906  937 1050  856  993],0.5,64.0,10.0
148,72.8,Other Door,70.27,71.51,5,,214.07,Classifier,[1143 1223 1264 1240 1181],0.2,71.0,10.0
149,50.4,Other Door,81.29,62.22,5,,201.09,Classifier,[1143 1223 1264 1240 1181],0.5,69.4,10.0
150,38.4,Key,52.75,44.45,5,,143.15,Classifier,[1092  304  808  807  217],0.2,52.0,10.0
151,11.6,Key,72.5,20.0,5,,137.7,Classifier,[1092  304  808  807  217],0.5,53.6,10.0
152,43.6,Orb,54.5,48.44,5,,151.7,Classifier,[182 156 159 574 795],0.2,53.6,10.0
153,14.4,Orb,48.65,22.22,5,,112.65,Classifier,[182 156 159 574 795],0.5,49.6,10.0
154,62.57,No Door,49.55,55.3,5,,161.54999999999998,Random,[118 319 301 256 230],0.2,49.43,10.0
155,20.0,No Door,55.56,29.41,5,,127.56,Random,[118 319 301 256 230],0.5,52.0,10.0
156,59.2,Level Door,51.21,54.92,5,,161.81,Random,[497 552 510 363 381],0.2,51.4,10.0
157,20.0,Level Door,53.76,29.15,5,,125.16,Random,[497 552 510 363 381],0.5,51.4,10.0
158,56.0,Green Door,48.44,51.95,5,,152.64,Random,[810 618 743 637 812],0.2,48.2,10.0
159,22.0,Green Door,60.44,32.26,5,,136.24,Random,[810 618 743 637 812],0.5,53.8,10.0
160,58.8,Key Door,48.51,53.16,5,,155.51,Random,[ 933  851 1014  965  977],0.2,48.2,10.0
