,Recall,Concept,Precision,F1Score,NumExp,Pattern Complexity,CPR,Encoding,Examples,TH,Accuracy,PC
1623,23.6,Orb,53.64,32.78,5,,128.84,Random,[ 755  165  176 1337  590],0.5,51.6,10.0
1624,14.86,No Door,73.24,24.71,5,,142.81,Agent,[ 28 149   4 274   6],0.2,54.71,10.0
1625,2.57,No Door,100.0,5.01,5,,153.85999999999999,Agent,[ 28 149   4 274   6],0.5,51.29,10.0
1626,58.8,Level Door,82.58,68.69,5,,214.57999999999998,Agent,[468 399 355 444 424],0.2,73.2,10.0
1627,32.0,Level Door,96.39,48.05,5,,193.79000000000002,Agent,[468 399 355 444 424],0.5,65.4,10.0
1628,63.6,Green Door,64.11,63.85,5,,191.71,Agent,[709 812 645 685 665],0.2,64.0,10.0
1629,45.2,Green Door,79.02,57.51,5,,190.82,Agent,[709 812 645 685 665],0.5,66.6,10.0
1630,41.6,Key Door,54.74,47.27,5,,149.94,Agent,[1020 1096  988  911  871],0.2,53.6,10.0
1631,5.6,Key Door,70.0,10.37,5,,127.19999999999999,Agent,[1020 1096  988  911  871],0.5,51.6,10.0
1632,49.6,Other Door,71.26,58.49,5,,185.66,Agent,[1336 1215 1339 1291 1157],0.2,64.8,10.0
1633,32.0,Other Door,93.02,47.62,5,,189.82,Agent,[1336 1215 1339 1291 1157],0.5,64.8,10.0
1634,22.8,Key,72.15,34.65,5,,151.95000000000002,Agent,[ 206  318 1094 1070  328],0.2,57.0,10.0
1635,2.4,Key,100.0,4.69,5,,153.6,Agent,[ 206  318 1094 1070  328],0.5,51.2,10.0
1636,40.4,Orb,71.13,51.53,5,,173.53,Agent,[ 168 1002  172  597  588],0.2,62.0,10.0
1637,13.6,Orb,80.95,23.29,5,,149.75,Agent,[ 168 1002  172  597  588],0.5,55.2,10.0
1638,68.0,No Door,51.74,58.77,5,,172.03,Autoencoder,[ 56 333  78 262  20],0.2,52.29,10.0
1639,21.43,No Door,64.66,32.19,5,,140.95,Autoencoder,[ 56 333  78 262  20],0.5,54.86,10.0
1640,60.0,Level Door,50.17,54.65,5,,160.37,Autoencoder,[390 472 408 527 408],0.2,50.2,10.0
1641,16.4,Level Door,54.67,25.23,5,,122.47,Autoencoder,[390 472 408 527 408],0.5,51.4,10.0
1642,48.8,Green Door,52.14,50.41,5,,152.94,Autoencoder,[738 764 754 656 847],0.2,52.0,10.0
1643,34.4,Green Door,61.43,44.1,5,,152.23,Autoencoder,[738 764 754 656 847],0.5,56.4,10.0
1644,58.0,Key Door,52.92,55.34,5,,164.12,Autoencoder,[ 895 1071  852  945  879],0.2,53.2,10.0
1645,27.2,Key Door,48.92,34.96,5,,125.52,Autoencoder,[ 895 1071  852  945  879],0.5,49.4,10.0
1646,73.6,Other Door,64.11,68.53,5,,203.91,Autoencoder,[1344 1105 1149 1279 1284],0.2,66.2,10.0
1647,34.4,Other Door,59.72,43.65,5,,149.72,Autoencoder,[1344 1105 1149 1279 1284],0.5,55.6,10.0
1648,35.6,Key,46.84,40.45,5,,130.04,Autoencoder,[ 323  213  824 1097  201],0.2,47.6,10.0
1649,18.8,Key,47.47,26.93,5,,115.27,Autoencoder,[ 323  213  824 1097  201],0.5,49.0,10.0
1650,44.4,Orb,53.37,48.47,5,,150.57,Autoencoder,[ 589 1008 1308 1041  783],0.2,52.8,10.0
1651,20.0,Orb,57.47,29.67,5,,130.07,Autoencoder,[ 589 1008 1308 1041  783],0.5,52.6,10.0
1652,70.86,No Door,75.15,72.94,5,,219.72000000000003,Classifier,[227  46 239 188  70],0.2,73.71,10.0
1653,33.43,No Door,80.14,47.18,5,,176.14000000000001,Classifier,[227  46 239 188  70],0.5,62.57,10.0
1654,85.6,Level Door,76.98,81.06,5,,242.58,Classifier,[599 382 451 414 385],0.2,80.0,10.0
1655,68.0,Level Door,99.42,80.76,5,,251.22,Classifier,[599 382 451 414 385],0.5,83.8,10.0
1656,63.2,Green Door,72.81,67.67,5,,205.81,Classifier,[697 710 707 622 805],0.2,69.8,10.0
1657,27.2,Green Door,89.47,41.72,5,,178.67,Classifier,[697 710 707 622 805],0.5,62.0,10.0
1658,68.4,Key Door,66.8,67.59,5,,202.4,Classifier,[ 868  931 1087 1019 1002],0.2,67.2,10.0
1659,45.6,Key Door,71.7,55.75,5,,181.1,Classifier,[ 868  931 1087 1019 1002],0.5,63.8,10.0
1660,83.6,Other Door,77.7,80.54,5,,241.1,Classifier,[1288 1236 1331 1304 1285],0.2,79.8,10.0
1661,57.2,Other Door,84.12,68.1,5,,214.51999999999998,Classifier,[1288 1236 1331 1304 1285],0.5,73.2,10.0
1662,54.4,Key,65.7,59.52,5,,183.1,Classifier,[326 349 284 291 206],0.2,63.0,10.0
1663,22.0,Key,78.57,34.37,5,,158.57,Classifier,[326 349 284 291 206],0.5,58.0,10.0
1664,46.4,Orb,54.98,50.33,5,,155.58,Classifier,[1043 1341  763  591 1343],0.2,54.2,10.0
1665,22.0,Orb,61.8,32.45,5,,138.0,Classifier,[1043 1341  763  591 1343],0.5,54.2,10.0
1666,64.29,No Door,51.61,57.26,5,,167.9,Random,[183 325 303 234 278],0.2,52.0,10.0
1667,16.0,No Door,49.12,24.14,5,,114.83,Random,[183 325 303 234 278],0.5,49.71,10.0
1668,58.4,Level Door,48.34,52.9,5,,154.74,Random,[547 461 559 433 437],0.2,48.0,10.0
1669,20.0,Level Door,56.18,29.5,5,,128.38,Random,[547 461 559 433 437],0.5,52.2,10.0
1670,59.2,Green Door,50.51,54.51,5,,160.31,Random,[728 799 736 617 625],0.2,50.6,10.0
1671,15.2,Green Door,50.0,23.31,5,,115.2,Random,[728 799 736 617 625],0.5,50.0,10.0
1672,60.4,Key Door,50.84,55.21,5,,162.24,Random,[1006  897 1072  983  929],0.2,51.0,10.0
1673,12.0,Key Door,44.78,18.93,5,,105.38,Random,[1006  897 1072  983  929],0.5,48.6,10.0
1674,55.2,Other Door,48.42,51.59,5,,151.82,Random,[1297 1215 1178 1142 1165],0.2,48.2,10.0
1675,17.2,Other Door,46.24,25.07,5,,112.04,Random,[1297 1215 1178 1142 1165],0.5,48.6,10.0
1676,62.4,Key,50.65,55.91,5,,163.85,Random,[ 253 1072 1066  324 1086],0.2,50.8,10.0
1677,12.8,Key,42.11,19.63,5,,102.51,Random,[ 253 1072 1066  324 1086],0.5,47.6,10.0
1678,65.6,Orb,50.77,57.24,5,,167.37,Random,[ 581 1030 1033  590  155],0.2,51.0,10.0
1679,17.6,Orb,53.01,26.43,5,,121.60999999999999,Random,[ 581 1030 1033  590  155],0.5,51.0,10.0
1680,12.0,No Door,36.52,18.06,5,,94.09,Agent,[259  15 127 323 105],0.2,45.57,10.0
1681,1.43,No Door,55.56,2.79,5,,107.13000000000001,Agent,[259  15 127 323 105],0.5,50.14,10.0
1682,78.4,Level Door,86.73,82.35,5,,248.33,Agent,[520 483 551 578 386],0.2,83.2,10.0
1683,31.2,Level Door,90.7,46.43,5,,185.89999999999998,Agent,[520 483 551 578 386],0.5,64.0,10.0
1684,58.4,Green Door,69.19,63.34,5,,193.79,Agent,[802 817 729 725 839],0.2,66.2,10.0
1685,33.6,Green Door,94.38,49.56,5,,193.78,Agent,[802 817 729 725 839],0.5,65.8,10.0
1686,18.0,Key Door,45.45,25.79,5,,111.65,Agent,[ 909 1022  982  927  977],0.2,48.2,10.0
1687,10.8,Key Door,61.36,18.37,5,,124.16,Agent,[ 909 1022  982  927  977],0.5,52.0,10.0
1688,22.4,Other Door,40.58,28.87,5,,107.78,Agent,[1314 1131 1303 1210 1325],0.2,44.8,10.0
1689,4.4,Other Door,47.83,8.06,5,,102.03,Agent,[1314 1131 1303 1210 1325],0.5,49.8,10.0
1690,48.4,Key,52.38,50.31,5,,152.98000000000002,Agent,[1088  814 1065  273 1094],0.2,52.2,10.0
1691,6.4,Key,69.57,11.72,5,,127.77,Agent,[1088  814 1065  273 1094],0.5,51.8,10.0
1692,65.2,Orb,65.99,65.59,5,,196.99,Agent,[ 585 1332  778 1002  183],0.2,65.8,10.0
1693,28.8,Orb,69.23,40.68,5,,156.03,Agent,[ 585 1332  778 1002  183],0.5,58.0,10.0
1694,61.14,No Door,54.59,57.68,5,,170.87,Autoencoder,[210  14  27 148 149],0.2,55.14,10.0
1695,31.14,No Door,58.29,40.59,5,,143.86,Autoencoder,[210  14  27 148 149],0.5,54.43,10.0
1696,49.6,Level Door,54.63,51.99,5,,158.43,Autoencoder,[447 572 373 371 537],0.2,54.2,10.0
1697,21.2,Level Door,59.55,31.27,5,,134.14999999999998,Autoencoder,[447 572 373 371 537],0.5,53.4,10.0
1698,57.2,Green Door,48.81,52.67,5,,154.61,Autoencoder,[746 696 693 767 810],0.2,48.6,10.0
1699,26.0,Green Door,46.43,33.33,5,,120.43,Autoencoder,[746 696 693 767 810],0.5,48.0,10.0
1700,76.0,Key Door,58.46,66.09,5,,195.46,Autoencoder,[ 880  906  892  992 1069],0.2,61.0,10.0
1701,60.8,Key Door,68.78,64.54,5,,196.18,Autoencoder,[ 880  906  892  992 1069],0.5,66.6,10.0
1702,59.2,Other Door,59.44,59.32,5,,178.04000000000002,Autoencoder,[1348 1110 1241 1178 1145],0.2,59.4,10.0
1703,23.6,Other Door,68.6,35.12,5,,148.6,Autoencoder,[1348 1110 1241 1178 1145],0.5,56.4,10.0
1704,52.4,Key,54.36,53.36,5,,160.96,Autoencoder,[ 228 1082  283  312 1084],0.2,54.2,10.0
1705,19.6,Key,56.98,29.17,5,,128.98,Autoencoder,[ 228 1082  283  312 1084],0.5,52.4,10.0
1706,69.2,Orb,51.03,58.74,5,,171.63,Autoencoder,[1348 1002 1018 1339 1007],0.2,51.4,10.0
1707,26.0,Orb,48.87,33.94,5,,124.27,Autoencoder,[1348 1002 1018 1339 1007],0.5,49.4,10.0
1708,65.43,No Door,64.87,65.15,5,,195.3,Classifier,[183 177 234 300 157],0.2,65.0,10.0
1709,25.43,No Door,80.18,38.61,5,,165.18,Classifier,[183 177 234 300 157],0.5,59.57,10.0
1710,81.2,Level Door,69.05,74.63,5,,222.64999999999998,Classifier,[453 529 430 530 434],0.2,72.4,10.0
1711,63.6,Level Door,87.36,73.61,5,,228.16,Classifier,[453 529 430 530 434],0.5,77.2,10.0
1712,62.4,Green Door,67.24,64.73,5,,195.64000000000001,Classifier,[624 790 764 626 797],0.2,66.0,10.0
1713,32.0,Green Door,72.07,44.32,5,,163.87,Classifier,[624 790 764 626 797],0.5,59.8,10.0
1714,60.4,Key Door,64.53,62.4,5,,188.53,Classifier,[ 907 1073  909  889 1075],0.2,63.6,10.0
1715,35.6,Key Door,86.41,50.43,5,,187.01,Classifier,[ 907 1073  909  889 1075],0.5,65.0,10.0
1716,88.8,Other Door,76.03,81.92,5,,245.23000000000002,Classifier,[1300 1110 1232 1336 1283],0.2,80.4,10.0
1717,60.4,Other Door,87.79,71.56,5,,224.19000000000003,Classifier,[1300 1110 1232 1336 1283],0.5,76.0,10.0
1718,54.8,Key,54.8,54.8,5,,164.39999999999998,Classifier,[1089  248  336  243 1068],0.2,54.8,10.0
1719,10.8,Key,62.79,18.43,5,,125.79,Classifier,[1089  248  336  243 1068],0.5,52.2,10.0
1720,59.6,Orb,57.09,58.32,5,,174.09,Classifier,[1003  179 1008  556  161],0.2,57.4,10.0
1721,31.6,Orb,64.23,42.36,5,,152.83,Classifier,[1003  179 1008  556  161],0.5,57.0,10.0
1722,51.71,No Door,50.56,51.13,5,,152.84,Random,[ 35 221  19 151  79],0.2,50.57,10.0
1723,22.29,No Door,50.98,31.02,5,,123.69999999999999,Random,[ 35 221  19 151  79],0.5,50.43,10.0
1724,66.8,Level Door,49.12,56.61,5,,164.71999999999997,Random,[565 356 522 483 477],0.2,48.8,10.0
1725,16.4,Level Door,47.67,24.4,5,,113.27000000000001,Random,[565 356 522 483 477],0.5,49.2,10.0
1726,56.0,Green Door,46.36,50.73,5,,147.96,Random,[775 706 674 751 819],0.2,45.6,10.0
1727,14.4,Green Door,39.56,21.11,5,,100.16000000000001,Random,[775 706 674 751 819],0.5,46.2,10.0
1728,66.0,Key Door,50.77,57.39,5,,167.77,Random,[1048  895  961  931 1029],0.2,51.0,10.0
1729,20.4,Key Door,58.62,30.27,5,,132.02,Random,[1048  895  961  931 1029],0.5,53.0,10.0
1730,60.4,Other Door,52.07,55.93,5,,164.87,Random,[1231 1312 1111 1277 1347],0.2,52.4,10.0
1731,18.0,Other Door,53.57,26.95,5,,122.77000000000001,Random,[1231 1312 1111 1277 1347],0.5,51.2,10.0
1732,60.0,Key,50.51,54.85,5,,161.11,Random,[301 211 317 221 321],0.2,50.6,10.0
1733,21.6,Key,56.25,31.21,5,,130.25,Random,[301 211 317 221 321],0.5,52.4,10.0
1734,62.8,Orb,50.48,55.97,5,,163.88,Random,[ 586  561  170 1339  585],0.2,50.6,10.0
1735,16.0,Orb,56.34,24.92,5,,124.14,Random,[ 586  561  170 1339  585],0.5,51.8,10.0
1736,28.0,No Door,54.75,37.05,5,,135.18,Agent,[136 128 145 125 165],0.2,52.43,10.0
1737,3.14,No Door,91.67,6.07,5,,146.23999999999998,Agent,[136 128 145 125 165],0.5,51.43,10.0
1738,79.2,Level Door,85.34,82.16,5,,247.33999999999997,Agent,[351 445 520 477 565],0.2,82.8,10.0
1739,38.0,Level Door,87.16,52.93,5,,191.36,Agent,[351 445 520 477 565],0.5,66.2,10.0
1740,53.6,Green Door,70.53,60.91,5,,189.73,Agent,[669 780 805 748 824],0.2,65.6,10.0
1741,42.8,Green Door,81.68,56.17,5,,191.07999999999998,Agent,[669 780 805 748 824],0.5,66.6,10.0
1742,34.8,Key Door,54.04,42.34,5,,141.44,Agent,[ 959 1000 1025  918 1057],0.2,52.6,10.0
1743,2.8,Key Door,58.33,5.34,5,,111.52999999999999,Agent,[ 959 1000 1025  918 1057],0.5,50.4,10.0
1744,40.4,Other Door,78.91,53.44,5,,184.10999999999999,Agent,[1229 1115 1171 1142 1181],0.2,64.8,10.0
1745,9.6,Other Door,82.76,17.2,5,,146.16,Agent,[1229 1115 1171 1142 1181],0.5,53.8,10.0
1746,36.0,Key,65.22,46.39,5,,159.62,Agent,[262 222 834 237 278],0.2,58.4,10.0
1747,21.2,Key,72.6,32.82,5,,150.39999999999998,Agent,[262 222 834 237 278],0.5,56.6,10.0
1748,63.6,Orb,64.9,64.24,5,,193.1,Agent,[1040  781  753  754  765],0.2,64.6,10.0
1749,22.4,Orb,86.15,35.56,5,,167.95000000000002,Agent,[1040  781  753  754  765],0.5,59.4,10.0
1750,66.57,No Door,58.69,62.38,5,,185.12,Autoencoder,[224 247  23 342 117],0.2,59.86,10.0
1751,26.29,No Door,61.33,36.8,5,,142.48,Autoencoder,[224 247  23 342 117],0.5,54.86,10.0
1752,40.0,Level Door,50.0,44.44,5,,140.0,Autoencoder,[525 459 590 487 351],0.2,50.0,10.0
1753,19.2,Level Door,49.48,27.66,5,,118.48,Autoencoder,[525 459 590 487 351],0.5,49.8,10.0
1754,57.6,Green Door,51.43,54.34,5,,160.63,Autoencoder,[616 751 808 825 620],0.2,51.6,10.0
1755,27.6,Green Door,57.98,37.4,5,,139.38,Autoencoder,[616 751 808 825 620],0.5,53.8,10.0
1756,48.4,Key Door,54.75,51.38,5,,157.35,Autoencoder,[ 857  981 1098 1034 1016],0.2,54.2,10.0
1757,10.8,Key Door,44.26,17.36,5,,103.66,Autoencoder,[ 857  981 1098 1034 1016],0.5,48.6,10.0
1758,47.2,Other Door,52.91,49.89,5,,152.70999999999998,Autoencoder,[1156 1251 1246 1320 1221],0.2,52.6,10.0
1759,18.4,Other Door,52.87,27.3,5,,122.27000000000001,Autoencoder,[1156 1251 1246 1320 1221],0.5,51.0,10.0
1760,74.4,Key,57.41,64.81,5,,191.41,Autoencoder,[326 280 254 235 809],0.2,59.6,10.0
1761,47.2,Key,63.44,54.13,5,,170.64,Autoencoder,[326 280 254 235 809],0.5,60.0,10.0
1762,62.8,Orb,57.51,60.04,5,,178.51,Autoencoder,[ 758  751  179  773 1321],0.2,58.2,10.0
1763,40.4,Orb,71.13,51.53,5,,173.53,Autoencoder,[ 758  751  179  773 1321],0.5,62.0,10.0
1764,62.29,No Door,66.87,64.5,5,,194.86999999999998,Classifier,[201 328 197 239  22],0.2,65.71,10.0
1765,27.43,No Door,76.8,40.42,5,,163.8,Classifier,[201 328 197 239  22],0.5,59.57,10.0
1766,83.2,Level Door,81.89,82.54,5,,247.49,Classifier,[531 549 399 421 459],0.2,82.4,10.0
1767,62.0,Level Door,91.72,73.99,5,,231.92000000000002,Classifier,[531 549 399 421 459],0.5,78.2,10.0
1768,61.2,Green Door,71.83,66.09,5,,201.63,Classifier,[630 703 610 622 721],0.2,68.6,10.0
1769,36.4,Green Door,78.45,49.73,5,,178.05,Classifier,[630 703 610 622 721],0.5,63.2,10.0
1770,54.8,Key Door,58.55,56.61,5,,171.35,Classifier,[ 958  913  876 1024  869],0.2,58.0,10.0
1771,35.2,Key Door,74.58,47.83,5,,171.38,Classifier,[ 958  913  876 1024  869],0.5,61.6,10.0
1772,84.4,Other Door,75.36,79.62,5,,238.16,Classifier,[1268 1124 1118 1172 1315],0.2,78.4,10.0
1773,59.6,Other Door,93.71,72.86,5,,231.10999999999999,Classifier,[1268 1124 1118 1172 1315],0.5,77.8,10.0
1774,58.8,Key,65.92,62.16,5,,188.92000000000002,Classifier,[ 215  844  816 1068  314],0.2,64.2,10.0
1775,25.6,Key,76.19,38.32,5,,160.59,Classifier,[ 215  844  816 1068  314],0.5,58.8,10.0
1776,56.0,Orb,61.14,58.46,5,,177.34,Classifier,[ 561 1349 1041 1037 1020],0.2,60.2,10.0
1777,17.2,Orb,76.79,28.1,5,,149.99,Classifier,[ 561 1349 1041 1037 1020],0.5,56.0,10.0
1778,64.57,No Door,51.02,57.0,5,,166.88,Random,[205 285 159 127 192],0.2,51.29,10.0
1779,20.29,No Door,57.72,30.03,5,,130.72,Random,[205 285 159 127 192],0.5,52.71,10.0
1780,64.4,Level Door,53.85,58.65,5,,172.85000000000002,Random,[444 484 450 467 435],0.2,54.6,10.0
1781,17.6,Level Door,51.76,26.27,5,,119.96000000000001,Random,[444 484 450 467 435],0.5,50.6,10.0
1782,42.8,Green Door,48.86,45.63,5,,140.66,Random,[615 827 776 651 655],0.2,49.0,10.0
1783,13.6,Green Door,52.31,21.59,5,,116.50999999999999,Random,[615 827 776 651 655],0.5,50.6,10.0
1784,61.2,Key Door,47.96,53.78,5,,156.56,Random,[ 960  911  910  912 1046],0.2,47.4,10.0
1785,17.6,Key Door,56.41,26.83,5,,126.00999999999999,Random,[ 960  911  910  912 1046],0.5,52.0,10.0
1786,60.4,Other Door,52.61,56.24,5,,166.01,Random,[1229 1107 1284 1195 1299],0.2,53.0,10.0
1787,16.0,Other Door,45.45,23.67,5,,109.85,Random,[1229 1107 1284 1195 1299],0.5,48.4,10.0
1788,63.2,Key,49.69,55.64,5,,162.49,Random,[800 275 306 249 835],0.2,49.6,10.0
1789,18.8,Key,54.65,27.98,5,,125.05,Random,[800 275 306 249 835],0.5,51.6,10.0
1790,61.2,Orb,48.73,54.26,5,,158.32999999999998,Random,[ 153 1021 1343  598  574],0.2,48.4,10.0
1791,17.2,Orb,42.16,24.43,5,,106.16,Random,[ 153 1021 1343  598  574],0.5,46.8,10.0
1792,29.14,No Door,64.56,40.16,5,,150.26999999999998,Agent,[251 319  55 238  26],0.2,56.57,10.0
1793,15.14,No Door,67.95,24.76,5,,137.09,Agent,[251 319  55 238  26],0.5,54.0,10.0
1794,46.4,Level Door,80.0,58.73,5,,193.8,Agent,[359 547 530 392 467],0.2,67.4,10.0
1795,26.0,Level Door,97.01,41.01,5,,185.61,Agent,[359 547 530 392 467],0.5,62.6,10.0
1796,62.8,Green Door,70.4,66.38,5,,201.40000000000003,Agent,[607 814 742 841 728],0.2,68.2,10.0
1797,44.0,Green Door,79.71,56.7,5,,190.11,Agent,[607 814 742 841 728],0.5,66.4,10.0
1798,42.8,Key Door,60.45,50.12,5,,160.64999999999998,Agent,[ 862  890 1031  924  853],0.2,57.4,10.0
1799,24.4,Key Door,62.24,35.06,5,,141.44,Agent,[ 862  890 1031  924  853],0.5,54.8,10.0
1800,42.8,Other Door,54.87,48.09,5,,151.46999999999997,Agent,[1340 1327 1136 1191 1274],0.2,53.8,10.0
1801,14.4,Other Door,69.23,23.84,5,,137.63,Agent,[1340 1327 1136 1191 1274],0.5,54.0,10.0
1802,14.4,Key,92.31,24.91,5,,163.31,Agent,[1077  834  336 1062  281],0.2,56.6,10.0
1803,7.2,Key,100.0,13.43,5,,160.79999999999998,Agent,[1077  834  336 1062  281],0.5,53.6,10.0
1804,68.8,Orb,81.52,74.62,5,,226.92000000000002,Agent,[ 189  764 1029  767 1028],0.2,76.6,10.0
1805,35.2,Orb,85.44,49.86,5,,185.24,Agent,[ 189  764 1029  767 1028],0.5,64.6,10.0
1806,53.43,No Door,53.43,53.43,5,,160.29,Autoencoder,[ 35 185 218 189 143],0.2,53.43,10.0
1807,26.57,No Door,58.86,36.61,5,,139.43,Autoencoder,[ 35 185 218 189 143],0.5,54.0,10.0
1808,71.2,Level Door,51.45,59.73,5,,174.65,Autoencoder,[592 564 490 485 561],0.2,52.0,10.0
1809,25.2,Level Door,63.0,36.0,5,,143.4,Autoencoder,[592 564 490 485 561],0.5,55.2,10.0
1810,46.4,Green Door,51.33,48.74,5,,148.93,Autoencoder,[777 655 795 834 762],0.2,51.2,10.0
1811,26.8,Green Door,54.03,35.83,5,,132.83,Autoencoder,[777 655 795 834 762],0.5,52.0,10.0
1812,69.2,Key Door,55.63,61.68,5,,181.82999999999998,Autoencoder,[ 928  874  945 1033  878],0.2,57.0,10.0
1813,24.0,Key Door,60.0,34.29,5,,138.0,Autoencoder,[ 928  874  945 1033  878],0.5,54.0,10.0
1814,64.4,Other Door,61.92,63.14,5,,188.72,Autoencoder,[1160 1261 1282 1257 1268],0.2,62.4,10.0
1815,43.6,Other Door,64.88,52.15,5,,168.48,Autoencoder,[1160 1261 1282 1257 1268],0.5,60.0,10.0
1816,36.0,Key,47.62,41.0,5,,131.82,Autoencoder,[ 336  836 1092  337 1071],0.2,48.2,10.0
1817,16.0,Key,44.94,23.6,5,,109.14,Autoencoder,[ 336  836 1092  337 1071],0.5,48.2,10.0
1818,69.6,Orb,63.27,66.28,5,,197.47,Autoencoder,[1310  172  773  785  754],0.2,64.6,10.0
1819,47.2,Orb,69.41,56.19,5,,179.81,Autoencoder,[1310  172  773  785  754],0.5,63.2,10.0
1820,60.57,No Door,69.51,64.73,5,,197.07999999999998,Classifier,[182 171  67  63 306],0.2,67.0,10.0
1821,20.57,No Door,85.71,33.18,5,,164.85,Classifier,[182 171  67  63 306],0.5,58.57,10.0
1822,84.4,Level Door,69.18,76.04,5,,226.98000000000002,Classifier,[403 452 426 570 492],0.2,73.4,10.0
1823,58.0,Level Door,91.19,70.9,5,,225.39,Classifier,[403 452 426 570 492],0.5,76.2,10.0
1824,56.8,Green Door,65.14,60.68,5,,185.14,Classifier,[792 604 629 715 671],0.2,63.2,10.0
1825,29.6,Green Door,70.48,41.69,5,,158.68,Classifier,[792 604 629 715 671],0.5,58.6,10.0
1826,64.8,Key Door,59.34,61.95,5,,184.34,Classifier,[1000  899  934  853  990],0.2,60.2,10.0
1827,33.2,Key Door,65.87,44.15,5,,157.07,Classifier,[1000  899  934  853  990],0.5,58.0,10.0
1828,88.0,Other Door,71.9,79.14,5,,236.7,Classifier,[1292 1342 1126 1254 1196],0.2,76.8,10.0
1829,53.6,Other Door,81.21,64.58,5,,205.41,Classifier,[1292 1342 1126 1254 1196],0.5,70.6,10.0
1830,55.6,Key,61.23,58.28,5,,177.03,Classifier,[812 289 282 270 237],0.2,60.2,10.0
1831,24.0,Key,66.67,35.29,5,,146.67000000000002,Classifier,[812 289 282 270 237],0.5,56.0,10.0
1832,69.2,Orb,60.49,64.55,5,,191.69,Classifier,[ 567  586 1009  170 1304],0.2,62.0,10.0
1833,34.4,Orb,88.66,49.57,5,,188.06,Classifier,[ 567  586 1009  170 1304],0.5,65.0,10.0
1834,51.71,No Door,50.84,51.27,5,,153.41,Random,[270 199  63  10 313],0.2,50.86,10.0
1835,20.29,No Door,58.68,30.15,5,,131.97,Random,[270 199  63  10 313],0.5,53.0,10.0
1836,66.8,Level Door,52.85,59.01,5,,173.25,Random,[355 407 475 537 569],0.2,53.6,10.0
1837,21.2,Level Door,60.23,31.36,5,,135.03,Random,[355 407 475 537 569],0.5,53.6,10.0
1838,60.8,Green Door,48.87,54.19,5,,158.26999999999998,Random,[745 821 630 704 648],0.2,48.6,10.0
1839,19.6,Green Door,57.65,29.25,5,,129.85,Random,[745 821 630 704 648],0.5,52.6,10.0
1840,63.2,Key Door,47.88,54.48,5,,158.28000000000003,Random,[ 882 1016 1093  998  888],0.2,47.2,10.0
1841,19.6,Key Door,49.0,28.0,5,,118.19999999999999,Random,[ 882 1016 1093  998  888],0.5,49.6,10.0
1842,64.4,Other Door,51.11,56.99,5,,166.91,Random,[1252 1299 1233 1124 1324],0.2,51.4,10.0
1843,19.6,Other Door,50.0,28.16,5,,119.6,Random,[1252 1299 1233 1124 1324],0.5,50.0,10.0
1844,61.2,Key,50.16,55.13,5,,161.56,Random,[ 218  834 1073  830  826],0.2,50.2,10.0
1845,20.8,Key,56.52,30.41,5,,129.72,Random,[ 218  834 1073  830  826],0.5,52.4,10.0
1846,64.0,Orb,51.28,56.94,5,,166.88,Random,[1346  553  771 1000  562],0.2,51.6,10.0
1847,20.8,Orb,56.52,30.41,5,,129.72,Random,[1346  553  771 1000  562],0.5,52.4,10.0
1848,17.14,No Door,70.59,27.58,5,,142.73000000000002,Agent,[120 135  28   7 219],0.2,55.0,10.0
1849,0.86,No Door,100.0,1.71,5,,151.29000000000002,Agent,[120 135  28   7 219],0.5,50.43,10.0
1850,56.0,Level Door,82.84,66.83,5,,211.04000000000002,Agent,[423 423 374 541 583],0.2,72.2,10.0
1851,26.0,Level Door,94.2,40.75,5,,182.4,Agent,[423 423 374 541 583],0.5,62.2,10.0
1852,53.6,Green Door,70.9,61.05,5,,190.29999999999998,Agent,[626 837 754 742 835],0.2,65.8,10.0
1853,42.8,Green Door,76.43,54.87,5,,184.03000000000003,Agent,[626 837 754 742 835],0.5,64.8,10.0
1854,34.4,Key Door,59.72,43.65,5,,149.72,Agent,[1055 1080  970  954  869],0.2,55.6,10.0
1855,9.2,Key Door,74.19,16.37,5,,136.39,Agent,[1055 1080  970  954  869],0.5,53.0,10.0
1856,13.2,Other Door,89.19,23.0,5,,158.19,Agent,[1308 1203 1289 1194 1307],0.2,55.8,10.0
1857,4.4,Other Door,100.0,8.43,5,,156.6,Agent,[1308 1203 1289 1194 1307],0.5,52.2,10.0
1858,44.4,Key,67.68,53.62,5,,173.68,Agent,[235 315 218 265 325],0.2,61.6,10.0
1859,20.0,Key,74.63,31.55,5,,151.23,Agent,[235 315 218 265 325],0.5,56.6,10.0
1860,46.0,Orb,75.16,57.07,5,,186.56,Agent,[ 588 1046  591  594  564],0.2,65.4,10.0
1861,15.6,Orb,84.78,26.35,5,,156.78,Agent,[ 588 1046  591  594  564],0.5,56.4,10.0
1862,52.86,No Door,50.27,51.53,5,,153.42000000000002,Autoencoder,[283 158 308 297 261],0.2,50.29,10.0
1863,24.29,No Door,59.03,34.42,5,,137.03,Autoencoder,[283 158 308 297 261],0.5,53.71,10.0
1864,63.2,Level Door,52.15,57.15,5,,167.95,Autoencoder,[511 507 552 413 428],0.2,52.6,10.0
1865,39.6,Level Door,49.01,43.81,5,,137.81,Autoencoder,[511 507 552 413 428],0.5,49.2,10.0
1866,56.8,Green Door,49.65,52.98,5,,156.05,Autoencoder,[600 784 659 772 667],0.2,49.6,10.0
