,NumExp,CPR,Concept,F1Score,Pattern,Encoding,Pattern Complexity,Recall,Examples,TH,Accuracy,Precision
55,5,187.95000000000002,Level Door,43.83,Double,Agent,10,28.4,[587 486 462 517 408],0.5,63.6,95.95
56,5,203.09,Green Door,66.67,Double,Agent,10,62.0,[774 627 769 825 778],0.2,69.0,72.09
57,5,180.17,Green Door,47.86,Double,Agent,10,33.6,[774 627 769 825 778],0.5,63.4,83.17
58,5,171.51,Key Door,49.47,Double,Agent,10,37.6,[ 983 1003 1029  947  869],0.2,61.6,72.31
59,5,139.16,Key Door,17.67,Double,Agent,10,10.0,[ 983 1003 1029  947  869],0.5,53.4,75.76
60,5,158.25,Other Door,32.05,Double,Agent,10,20.0,[1347 1282 1254 1308 1105],0.2,57.6,80.65
61,5,152.4,Other Door,3.15,Double,Agent,10,1.6,[1347 1282 1254 1308 1105],0.5,50.8,100.0
62,5,156.91,Key,40.12,Double,Agent,10,28.0,[849 827 299 312 243],0.2,58.2,70.71
63,5,131.58,Key,5.41,Double,Agent,10,2.8,[849 827 299 312 243],0.5,51.0,77.78
64,5,204.03000000000003,Orb,67.5,Double,Agent,10,64.8,[ 784  782  770 1340  778],0.2,68.8,70.43
65,5,157.91,Orb,36.86,Double,Agent,10,24.4,[ 784  782  770 1340  778],0.5,58.2,75.31
66,5,225.73000000000002,Level Door,75.63,SVM,Agent,10,83.2,[544 377 425 377 351],0.0,73.2,69.33
67,5,218.65000000000003,Green Door,73.31,SVM,Agent,10,86.8,[849 798 756 622 605],0.0,68.4,63.45
68,5,169.09,Key Door,53.15,SVM,Agent,10,45.6,[902 900 901 989 990],0.0,59.8,63.69
69,5,205.04,Other Door,66.21,SVM,Agent,10,58.4,[1121 1333 1179 1295 1239],0.0,70.2,76.44
70,5,163.32,Key,54.25,SVM,Agent,10,53.6,[221 334 224 228 801],0.0,54.8,54.92
71,5,200.57,Orb,63.16,SVM,Agent,10,52.8,[ 593 1027  791 1315  754],0.0,69.2,78.57
72,5,200.93,Level Door,64.69,Double,Agent,10,56.8,[353 464 555 569 599],0.2,69.0,75.13
73,5,192.0,Level Door,51.43,Double,Agent,10,36.0,[353 464 555 569 599],0.5,66.0,90.0
74,5,179.32,Green Door,59.42,Double,Agent,10,58.0,[704 618 600 844 700],0.2,60.4,60.92
75,5,177.35999999999999,Green Door,49.04,Double,Agent,10,35.6,[704 618 600 844 700],0.5,63.0,78.76
76,5,136.8,Key Door,40.59,Double,Agent,10,33.2,[1051 1040  990 1010  877],0.2,51.4,52.2
77,5,96.88,Key Door,7.33,Double,Agent,10,4.0,[1051 1040  990 1010  877],0.5,49.4,43.48
78,5,124.43,Other Door,33.68,Double,Agent,10,25.6,[1333 1164 1336 1242 1251],0.2,49.6,49.23
79,5,131.08,Other Door,10.41,Double,Agent,10,5.6,[1333 1164 1336 1242 1251],0.5,51.8,73.68
80,5,159.53,Key,45.09,Double,Agent,10,34.0,[206 817 816 304 323],0.2,58.6,66.93
81,5,146.41,Key,30.72,Double,Agent,10,19.6,[206 817 816 304 323],0.5,55.8,71.01
82,5,222.98000000000002,Orb,73.2,Double,Agent,10,67.2,[1026  155 1029  573 1026],0.2,75.4,80.38
83,5,164.41000000000003,Orb,35.74,Double,Agent,10,22.8,[1026  155 1029  573 1026],0.5,59.0,82.61
84,5,261.79999999999995,Level Door,87.17,SVM,Agent,10,85.6,[420 428 594 441 580],0.0,87.4,88.8
85,5,214.65999999999997,Green Door,72.12,SVM,Agent,10,81.2,[782 613 842 685 738],0.0,68.6,64.86
86,5,196.64999999999998,Key Door,66.43,SVM,Agent,10,75.6,[ 963 1075 1042  862 1076],0.0,61.8,59.25
87,5,217.2,Other Door,67.33,SVM,Agent,10,54.0,[1154 1293 1105 1155 1239],0.0,73.8,89.4
88,5,176.14,Key,56.7,SVM,Agent,10,50.8,[ 214  281  259  276 1085],0.0,61.2,64.14
89,5,198.59,Orb,67.1,SVM,Agent,10,82.4,[ 588  592 1018 1031  161],0.0,59.6,56.59
90,5,204.7,Level Door,65.75,Double,Agent,10,57.2,[428 536 582 530 548],0.2,70.2,77.3
91,5,189.68,Level Door,53.55,Double,Agent,10,39.2,[428 536 582 530 548],0.5,66.0,84.48
92,5,200.32999999999998,Green Door,66.25,Double,Agent,10,63.6,[644 665 745 732 846],0.2,67.6,69.13
93,5,169.19,Green Door,45.07,Double,Agent,10,32.0,[644 665 745 732 846],0.5,61.0,76.19
94,5,126.73,Key Door,26.46,Double,Agent,10,17.2,[1044  889  960  893 1080],0.2,52.2,57.33
95,5,112.32000000000001,Key Door,9.52,Double,Agent,10,5.2,[1044  889  960  893 1080],0.5,50.6,56.52
96,5,179.95,Other Door,55.69,Double,Agent,10,46.0,[1208 1234 1106 1108 1321],0.2,63.4,70.55
97,5,177.5,Other Door,42.42,Double,Agent,10,28.0,[1208 1234 1106 1108 1321],0.5,62.0,87.5
98,5,174.23,Key,51.66,Double,Agent,10,40.4,[ 289  231 1075  296  318],0.2,62.2,71.63
99,5,145.61,Key,29.75,Double,Agent,10,18.8,[ 289  231 1075  296  318],0.5,55.6,71.21
100,5,231.51,Orb,76.29,Double,Agent,10,70.8,[ 184 1324  186 1310  753],0.2,78.0,82.71
101,5,164.44,Orb,23.78,Double,Agent,10,13.6,[ 184 1324  186 1310  753],0.5,56.4,94.44
102,5,236.3,Level Door,78.91,SVM,Agent,10,80.8,[556 523 389 404 561],0.0,78.4,77.1
103,5,178.41,Green Door,58.92,SVM,Agent,10,56.8,[691 755 782 720 718],0.0,60.4,61.21
104,5,190.04999999999998,Key Door,59.47,SVM,Agent,10,49.6,[ 945  949 1004  921  980],0.0,66.2,74.25
105,5,226.7,Other Door,71.53,SVM,Agent,10,58.8,[1219 1275 1198 1156 1349],0.0,76.6,91.3
106,5,174.74,Key,59.5,SVM,Agent,10,67.6,[ 268  244 1067  298  828],0.0,54.0,53.14
107,5,223.17000000000002,Orb,74.82,SVM,Agent,10,83.2,[1339 1329  153  794 1012],0.0,72.0,67.97
108,5,199.36,Level Door,59.59,Double,Agent,10,46.0,[420 359 539 581 442],0.2,68.8,84.56
109,5,197.67,Level Door,50.0,Double,Agent,10,33.6,[420 359 539 581 442],0.5,66.4,97.67
110,5,187.26,Green Door,57.21,Double,Agent,10,46.0,[833 745 618 721 663],0.2,65.6,75.66
111,5,122.94,Green Door,16.61,Double,Agent,10,9.6,[833 745 618 721 663],0.5,51.8,61.54
112,5,146.13,Key Door,43.0,Double,Agent,10,34.4,[1064  970 1069  919  980],0.2,54.4,57.33
113,5,115.15,Key Door,16.89,Double,Agent,10,10.0,[1064  970 1069  919  980],0.5,50.8,54.35
114,5,209.84,Other Door,62.47,Double,Agent,10,47.6,[1298 1184 1215 1291 1157],0.2,71.4,90.84
115,5,180.07000000000002,Other Door,40.99,Double,Agent,10,26.4,[1298 1184 1215 1291 1157],0.5,62.0,91.67
116,5,138.48000000000002,Key,29.19,Double,Agent,10,18.8,[1093  274 1079 1050  804],0.2,54.4,65.28
117,5,121.4,Key,9.63,Double,Agent,10,5.2,[1093  274 1079 1050  804],0.5,51.2,65.0
118,5,214.74,Orb,70.43,Double,Agent,10,64.8,[ 181 1320  165  760 1328],0.2,72.8,77.14
119,5,187.05,Orb,48.4,Double,Agent,10,33.2,[ 181 1320  165  760 1328],0.5,64.6,89.25
120,5,252.72,Level Door,84.37,SVM,Agent,10,89.6,[433 453 587 522 438],0.0,83.4,79.72
121,5,205.98,Green Door,67.53,SVM,Agent,10,62.4,[841 605 731 814 735],0.0,70.0,73.58
122,5,170.96,Key Door,58.12,SVM,Agent,10,64.4,[ 853  939 1012 1066 1051],0.0,53.6,52.96
123,5,206.22,Other Door,68.33,SVM,Agent,10,66.0,[1257 1156 1260 1277 1292],0.0,69.4,70.82
124,5,177.22,Key,59.38,SVM,Agent,10,60.8,[ 240 1087  253  213  803],0.0,58.4,58.02
