,Recall,Accuracy,Precision,Concept,CPR,NumExp,F1Score,Examples,Encoding,Pattern Complexity,TH,PC
194,62.4,68.2,70.59,Green Door,201.19000000000003,5,66.24,[681 737 624 723 607],Ext+Int,,0.2,10.0
195,33.2,63.0,82.18,Green Door,178.38,5,47.29,[681 737 624 723 607],Ext+Int,,0.5,10.0
196,24.4,53.2,57.55,Key Door,135.15,5,34.27,[ 996  922  879 1031  886],Ext+Int,,0.2,10.0
197,10.8,53.8,77.14,Key Door,141.74,5,18.95,[ 996  922  879 1031  886],Ext+Int,,0.5,10.0
198,31.6,52.6,54.48,Other Door,138.68,5,40.0,[1343 1212 1185 1119 1278],Ext+Int,,0.2,10.0
199,10.8,53.6,75.0,Other Door,139.4,5,18.88,[1343 1212 1185 1119 1278],Ext+Int,,0.5,10.0
200,12.8,54.4,76.19,Key,143.39000000000001,5,21.92,[813 228 326 266 830],Ext+Int,,0.2,10.0
201,3.6,51.8,100.0,Key,155.4,5,6.95,[813 228 326 266 830],Ext+Int,,0.5,10.0
202,54.4,65.0,69.04,Orb,188.44000000000003,5,60.85,[1321  592  588  597  793],Ext+Int,,0.2,10.0
203,18.8,57.8,85.45,Orb,162.05,5,30.82,[1321  592  588  597  793],Ext+Int,,0.5,10.0
204,67.2,73.2,76.36,Level Door,216.76,5,71.49,[442 596 378 596 484],Internal,,0.2,10.0
205,31.6,63.0,84.95,Level Door,179.54999999999998,5,46.06,[442 596 378 596 484],Internal,,0.5,10.0
206,60.0,61.2,61.48,Green Door,182.68,5,60.73,[807 657 684 761 788],Internal,,0.2,10.0
207,31.6,64.0,89.77,Green Door,185.36999999999998,5,46.75,[807 657 684 761 788],Internal,,0.5,10.0
208,28.0,60.8,81.4,Key Door,170.2,5,41.67,[ 899  863 1097 1039  997],Internal,,0.2,10.0
209,11.6,55.4,93.55,Key Door,160.54999999999998,5,20.64,[ 899  863 1097 1039  997],Internal,,0.5,10.0
210,56.8,59.4,59.92,Other Door,176.12,5,58.32,[1235 1258 1165 1149 1142],Internal,,0.2,10.0
211,17.6,56.6,80.0,Other Door,154.2,5,28.85,[1235 1258 1165 1149 1142],Internal,,0.5,10.0
212,44.8,58.2,61.2,Key,164.2,5,51.73,[310 319 293 824 838],Internal,,0.2,10.0
213,16.4,54.4,68.33,Key,139.13,5,26.45,[310 319 293 824 838],Internal,,0.5,10.0
214,69.2,72.8,74.57,Orb,216.57,5,71.78,[ 177 1049  781 1308  196],Internal,,0.2,10.0
215,36.8,63.2,77.97,Orb,177.97000000000003,5,50.0,[ 177 1049  781 1308  196],Internal,,0.5,10.0
216,41.6,69.2,92.86,Level Door,203.66,5,57.46,[454 545 548 385 576],External,,0.2,10.0
217,9.6,54.8,100.0,Level Door,164.4,5,17.52,[454 545 548 385 576],External,,0.5,10.0
