,Recall,Accuracy,Precision,Concept,CPR,NumExp,F1Score,Examples,Encoding,Pattern Complexity,TH,PC
683,32.8,64.4,89.13,Orb,186.32999999999998,5,47.95,[ 583  152 1322  162 1029],Internal,,0.5,10.0
684,60.0,75.6,87.21,Level Door,222.81,5,71.09,[416 502 525 383 495],External,,0.2,10.0
685,48.0,71.8,91.6,Level Door,211.39999999999998,5,62.99,[416 502 525 383 495],External,,0.5,10.0
686,14.8,55.0,75.51,Green Door,145.31,5,24.75,[678 608 757 718 702],External,,0.2,10.0
687,1.2,50.6,100.0,Green Door,151.79999999999998,5,2.37,[678 608 757 718 702],External,,0.5,10.0
688,14.0,48.0,43.75,Key Door,105.75,5,21.21,[ 965 1004  922 1006  886],External,,0.2,10.0
689,0.4,50.2,100.0,Key Door,150.6,5,0.8,[ 965 1004  922 1006  886],External,,0.5,10.0
690,21.2,59.4,89.83,Other Door,170.42999999999998,5,34.3,[1172 1158 1268 1347 1177],External,,0.2,10.0
691,4.8,52.4,100.0,Other Door,157.20000000000002,5,9.16,[1172 1158 1268 1347 1177],External,,0.5,10.0
692,16.4,53.8,65.08,Key,135.28,5,26.2,[260 342 271 278 824],External,,0.2,10.0
693,9.2,52.4,67.65,Key,129.25,5,16.2,[260 342 271 278 824],External,,0.5,10.0
694,40.0,61.8,70.92,Orb,172.72,5,51.15,[ 553  551  197 1001 1348],External,,0.2,10.0
695,20.0,55.8,70.42,Orb,146.22,5,31.15,[ 553  551  197 1001 1348],External,,0.5,10.0
696,63.2,78.0,89.77,Level Door,230.96999999999997,5,74.18,[386 393 360 473 482],Ext+Int,,0.2,10.0
697,37.2,67.4,93.94,Level Door,198.54000000000002,5,53.3,[386 393 360 473 482],Ext+Int,,0.5,10.0
698,50.8,66.0,72.99,Green Door,189.79000000000002,5,59.91,[670 635 647 690 668],Ext+Int,,0.2,10.0
699,26.8,60.0,79.76,Green Door,166.56,5,40.12,[670 635 647 690 668],Ext+Int,,0.5,10.0
700,32.8,55.4,59.85,Key Door,148.05,5,42.38,[ 889  864  991 1071 1021],Ext+Int,,0.2,10.0
701,6.4,51.6,66.67,Key Door,124.67000000000002,5,11.68,[ 889  864  991 1071 1021],Ext+Int,,0.5,10.0
702,14.8,48.4,45.12,Other Door,108.32,5,22.29,[1124 1132 1175 1328 1193],Ext+Int,,0.2,10.0
703,6.8,50.0,50.0,Other Door,106.8,5,11.97,[1124 1132 1175 1328 1193],Ext+Int,,0.5,10.0
704,9.2,50.4,52.27,Key,111.87,5,15.65,[286 306 253 319 830],Ext+Int,,0.2,10.0
705,1.2,50.4,75.0,Key,126.60000000000001,5,2.36,[286 306 253 319 830],Ext+Int,,0.5,10.0
706,26.4,54.2,59.46,Orb,140.06,5,36.57,[1331  782  195 1036 1000],Ext+Int,,0.2,10.0
707,4.0,50.4,55.56,Orb,109.96000000000001,5,7.46,[1331  782  195 1036 1000],Ext+Int,,0.5,10.0
708,67.6,77.0,83.25,Level Door,227.85,5,74.61,[484 525 465 358 427],Internal,,0.2,10.0
709,43.6,69.6,90.83,Level Door,204.03,5,58.92,[484 525 465 358 427],Internal,,0.5,10.0
710,34.0,52.2,53.46,Green Door,139.66,5,41.57,[820 617 849 651 639],Internal,,0.2,10.0
711,14.8,51.8,56.92,Green Door,123.52,5,23.49,[820 617 849 651 639],Internal,,0.5,10.0
712,34.4,55.8,60.14,Key Door,150.34,5,43.77,[ 946  926 1088 1058 1049],Internal,,0.2,10.0
713,10.4,51.2,56.52,Key Door,118.12,5,17.57,[ 946  926 1088 1058 1049],Internal,,0.5,10.0
714,39.2,59.6,66.22,Other Door,165.01999999999998,5,49.25,[1172 1187 1144 1299 1213],Internal,,0.2,10.0
715,20.8,59.2,89.66,Other Door,169.66000000000003,5,33.77,[1172 1187 1144 1299 1213],Internal,,0.5,10.0
716,32.0,60.2,73.39,Key,165.59,5,44.57,[1093  821  815 1090  278],Internal,,0.2,10.0
717,10.0,53.6,78.12,Key,141.72,5,17.73,[1093  821  815 1090  278],Internal,,0.5,10.0
718,62.8,66.0,67.09,Orb,195.89,5,64.87,[ 563  192  550 1019 1004],Internal,,0.2,10.0
719,28.4,56.6,65.14,Orb,150.14000000000001,5,39.55,[ 563  192  550 1019 1004],Internal,,0.5,10.0
720,68.8,78.4,85.15,Level Door,232.35000000000002,5,76.11,[409 490 513 397 568],External,,0.2,10.0
721,44.8,68.2,84.21,Level Door,197.20999999999998,5,58.49,[409 490 513 397 568],External,,0.5,10.0
722,19.2,55.6,70.59,Green Door,145.39,5,30.19,[711 678 639 689 775],External,,0.2,10.0
723,5.6,52.0,77.78,Green Door,135.38,5,10.45,[711 678 639 689 775],External,,0.5,10.0
724,18.4,53.8,63.01,Key Door,135.21,5,28.48,[915 901 958 974 879],External,,0.2,10.0
725,8.8,52.8,73.33,Key Door,134.93,5,15.71,[915 901 958 974 879],External,,0.5,10.0
726,11.2,53.6,73.68,Other Door,138.48,5,19.44,[1337 1178 1315 1168 1113],External,,0.2,10.0
727,6.4,53.2,100.0,Other Door,159.6,5,12.03,[1337 1178 1315 1168 1113],External,,0.5,10.0
728,25.2,58.0,73.26,Key,156.45999999999998,5,37.5,[ 224 1058  259  811  810],External,,0.2,10.0
729,9.6,53.8,82.76,Key,146.16,5,17.2,[ 224 1058  259  811  810],External,,0.5,10.0
730,37.2,57.2,62.0,Orb,156.4,5,46.5,[ 199  187  167 1036 1039],External,,0.2,10.0
731,10.8,53.6,75.0,Orb,139.4,5,18.88,[ 199  187  167 1036 1039],External,,0.5,10.0
732,58.8,76.0,89.63,Level Door,224.43,5,71.01,[355 540 549 415 360],Ext+Int,,0.2,10.0
733,42.8,70.4,95.54,Level Door,208.74,5,59.12,[355 540 549 415 360],Ext+Int,,0.5,10.0
734,55.2,66.2,70.77,Green Door,192.17000000000002,5,62.02,[764 679 776 654 805],Ext+Int,,0.2,10.0
735,19.2,56.4,75.0,Green Door,150.6,5,30.57,[764 679 776 654 805],Ext+Int,,0.5,10.0
736,16.0,52.8,60.61,Key Door,129.41,5,25.32,[1089 1047  862  862  976],Ext+Int,,0.2,10.0
737,8.0,51.8,64.52,Key Door,124.32,5,14.23,[1089 1047  862  862  976],Ext+Int,,0.5,10.0
738,22.8,57.8,76.0,Other Door,156.60000000000002,5,35.08,[1171 1153 1106 1183 1188],Ext+Int,,0.2,10.0
739,6.8,52.8,85.0,Other Door,144.60000000000002,5,12.59,[1171 1153 1106 1183 1188],Ext+Int,,0.5,10.0
740,19.6,53.2,59.76,Key,132.56,5,29.52,[ 827  242  226  225 1068],Ext+Int,,0.2,10.0
741,4.0,51.4,76.92,Key,132.32,5,7.6,[ 827  242  226  225 1068],Ext+Int,,0.5,10.0
742,43.2,58.2,61.71,Orb,163.11,5,50.82,[1031  180  751 1006 1014],Ext+Int,,0.2,10.0
743,8.0,52.8,76.92,Orb,137.72,5,14.49,[1031  180  751 1006 1014],Ext+Int,,0.5,10.0
744,58.0,71.0,78.38,Level Door,207.38,5,66.67,[579 491 411 506 356],Internal,,0.2,10.0
745,39.6,66.6,86.09,Level Door,192.29,5,54.25,[579 491 411 506 356],Internal,,0.5,10.0
746,53.6,65.4,70.16,Green Door,189.16,5,60.77,[712 791 699 791 727],Internal,,0.2,10.0
747,38.8,64.8,80.83,Green Door,184.43,5,52.43,[712 791 699 791 727],Internal,,0.5,10.0
748,37.6,56.4,60.26,Key Door,154.26,5,46.31,[ 974 1039 1039  896  940],Internal,,0.2,10.0
749,15.2,54.8,73.08,Key Door,143.07999999999998,5,25.17,[ 974 1039 1039  896  940],Internal,,0.5,10.0
750,44.8,57.4,59.89,Other Door,162.08999999999997,5,51.26,[1185 1252 1331 1101 1328],Internal,,0.2,10.0
751,18.8,58.0,87.04,Other Door,163.84000000000003,5,30.92,[1185 1252 1331 1101 1328],Internal,,0.5,10.0
752,38.8,58.4,63.82,Key,161.01999999999998,5,48.26,[1088  238  202  284 1060],Internal,,0.2,10.0
753,23.6,55.8,66.29,Key,145.69,5,34.81,[1088  238  202  284 1060],Internal,,0.5,10.0
754,53.2,64.8,69.27,Orb,187.26999999999998,5,60.18,[ 599  164  587 1338 1344],Internal,,0.2,10.0
755,19.2,58.4,88.89,Orb,166.48999999999998,5,31.58,[ 599  164  587 1338 1344],Internal,,0.5,10.0
756,63.6,76.8,86.41,Level Door,226.80999999999997,5,73.27,[572 540 386 372 491],External,,0.2,10.0
757,50.0,71.4,87.41,Level Door,208.81,5,63.61,[572 540 386 372 491],External,,0.5,10.0
758,30.8,58.8,70.0,Green Door,159.60000000000002,5,42.78,[806 840 613 738 847],External,,0.2,10.0
759,13.2,53.8,70.21,Green Door,137.20999999999998,5,22.22,[806 840 613 738 847],External,,0.5,10.0
760,23.6,50.0,50.0,Key Door,123.6,5,32.07,[1078  995 1041 1040 1078],External,,0.2,10.0
761,11.2,52.2,62.22,Key Door,125.62,5,18.98,[1078  995 1041 1040 1078],External,,0.5,10.0
762,26.8,61.6,88.16,Other Door,176.56,5,41.1,[1317 1226 1163 1254 1142],External,,0.2,10.0
763,5.2,52.6,100.0,Other Door,157.79999999999998,5,9.89,[1317 1226 1163 1254 1142],External,,0.5,10.0
764,28.4,55.6,62.28,Key,146.28,5,39.01,[ 291  259  296 1081  285],External,,0.2,10.0
765,1.6,50.8,100.0,Key,152.4,5,3.15,[ 291  259  296 1081  285],External,,0.5,10.0
766,41.6,63.6,74.29,Orb,179.49,5,53.33,[1308  763  779  751  575],External,,0.2,10.0
767,20.8,54.6,64.2,Orb,139.60000000000002,5,31.42,[1308  763  779  751  575],External,,0.5,10.0
768,55.6,73.4,86.34,Level Door,215.34,5,67.64,[568 523 421 423 518],Ext+Int,,0.2,10.0
769,33.2,64.8,90.22,Level Door,188.21999999999997,5,48.54,[568 523 421 423 518],Ext+Int,,0.5,10.0
770,47.2,67.2,78.67,Green Door,193.07,5,59.0,[795 656 772 796 791],Ext+Int,,0.2,10.0
771,15.2,56.6,88.37,Green Door,160.17,5,25.94,[795 656 772 796 791],Ext+Int,,0.5,10.0
772,28.4,53.8,57.72,Key Door,139.92,5,38.07,[ 977  882  851 1077 1032],Ext+Int,,0.2,10.0
773,14.8,50.8,52.86,Key Door,118.46,5,23.13,[ 977  882  851 1077 1032],Ext+Int,,0.5,10.0
774,26.4,55.4,62.86,Other Door,144.66,5,37.18,[1117 1110 1252 1149 1237],Ext+Int,,0.2,10.0
775,1.2,50.4,75.0,Other Door,126.60000000000001,5,2.36,[1117 1110 1252 1149 1237],Ext+Int,,0.5,10.0
776,7.2,50.8,56.25,Key,114.25,5,12.77,[271 258 221 216 340],Ext+Int,,0.2,10.0
777,2.4,51.0,85.71,Key,139.10999999999999,5,4.67,[271 258 221 216 340],Ext+Int,,0.5,10.0
778,41.6,61.0,67.97,Orb,170.57,5,51.61,[1016  575  561 1346  568],Ext+Int,,0.2,10.0
779,27.6,59.0,74.19,Orb,160.79,5,40.23,[1016  575  561 1346  568],Ext+Int,,0.5,10.0
780,60.4,73.0,80.75,Level Door,214.15,5,69.11,[550 554 505 522 355],Internal,,0.2,10.0
781,42.8,67.6,84.92,Level Door,195.32,5,56.91,[550 554 505 522 355],Internal,,0.5,10.0
782,62.4,65.6,66.67,Green Door,194.67,5,64.46,[695 726 602 620 632],Internal,,0.2,10.0
783,39.6,65.6,82.5,Green Door,187.7,5,53.51,[695 726 602 620 632],Internal,,0.5,10.0
784,27.2,59.8,78.16,Key Door,165.15999999999997,5,40.36,[1017  949 1003  912  892],Internal,,0.2,10.0
785,2.4,51.0,85.71,Key Door,139.10999999999999,5,4.67,[1017  949 1003  912  892],Internal,,0.5,10.0
786,44.8,70.0,90.32,Other Door,205.12,5,59.89,[1256 1285 1123 1171 1291],Internal,,0.2,10.0
787,26.0,62.0,92.86,Other Door,180.86,5,40.63,[1256 1285 1123 1171 1291],Internal,,0.5,10.0
788,38.0,58.6,64.63,Key,161.23,5,47.86,[228 808 810 235 817],Internal,,0.2,10.0
789,17.6,55.8,74.58,Key,147.98,5,28.48,[228 808 810 235 817],Internal,,0.5,10.0
790,53.6,63.4,66.67,Orb,183.67,5,59.42,[1020 1331 1333  766  184],Internal,,0.2,10.0
791,23.2,56.0,67.44,Orb,146.64,5,34.52,[1020 1331 1333  766  184],Internal,,0.5,10.0
792,63.2,76.6,86.34,Level Door,226.14,5,72.98,[435 352 455 479 567],External,,0.2,10.0
793,38.0,67.4,92.23,Level Door,197.63,5,53.82,[435 352 455 479 567],External,,0.5,10.0
794,41.6,62.4,71.23,Green Door,175.23,5,52.52,[719 739 617 769 818],External,,0.2,10.0
795,4.8,51.6,75.0,Green Door,131.4,5,9.02,[719 739 617 769 818],External,,0.5,10.0
796,22.8,56.8,71.25,Key Door,150.85000000000002,5,34.55,[ 980 1022  900  865  858],External,,0.2,10.0
797,2.4,51.2,100.0,Key Door,153.6,5,4.69,[ 980 1022  900  865  858],External,,0.5,10.0
798,14.0,43.6,34.31,Other Door,91.91,5,19.89,[1302 1115 1277 1335 1251],External,,0.2,10.0
799,3.6,48.0,32.14,Other Door,83.74,5,6.47,[1302 1115 1277 1335 1251],External,,0.5,10.0
800,19.2,55.4,69.57,Key,144.17,5,30.09,[257 291 298 256 237],External,,0.2,10.0
801,12.0,53.2,68.18,Key,133.38,5,20.41,[257 291 298 256 237],External,,0.5,10.0
802,34.4,59.8,69.92,Orb,164.12,5,46.11,[ 168  765  750  755 1029],External,,0.2,10.0
803,13.6,52.0,58.62,Orb,124.22,5,22.08,[ 168  765  750  755 1029],External,,0.5,10.0
804,36.4,59.8,68.42,Level Door,164.62,5,47.52,[559 592 440 573 394],Ext+Int,,0.2,10.0
805,23.6,58.2,76.62,Level Door,158.42,5,36.09,[559 592 440 573 394],Ext+Int,,0.5,10.0
806,48.0,60.0,63.16,Green Door,171.16,5,54.55,[773 762 791 672 632],Ext+Int,,0.2,10.0
807,6.4,51.2,61.54,Green Door,119.14000000000001,5,11.59,[773 762 791 672 632],Ext+Int,,0.5,10.0
808,28.0,53.4,56.91,Key Door,138.31,5,37.53,[ 930 1073  998 1027  857],Ext+Int,,0.2,10.0
809,16.0,53.6,64.52,Key Door,134.12,5,25.64,[ 930 1073  998 1027  857],Ext+Int,,0.5,10.0
810,24.4,56.4,67.78,Other Door,148.58,5,35.88,[1271 1138 1262 1218 1154],Ext+Int,,0.2,10.0
811,8.0,52.2,68.97,Other Door,129.17000000000002,5,14.34,[1271 1138 1262 1218 1154],Ext+Int,,0.5,10.0
812,25.6,50.8,51.61,Key,128.01,5,34.22,[1052  259  802  215  335],Ext+Int,,0.2,10.0
813,4.4,51.2,68.75,Key,124.35000000000001,5,8.27,[1052  259  802  215  335],Ext+Int,,0.5,10.0
814,56.0,66.2,70.35,Orb,192.55,5,62.36,[1328  192 1301 1014  197],Ext+Int,,0.2,10.0
815,23.2,59.0,81.69,Orb,163.89,5,36.14,[1328  192 1301 1014  197],Ext+Int,,0.5,10.0
816,65.6,72.6,76.28,Level Door,214.48,5,70.54,[431 499 526 543 434],Internal,,0.2,10.0
817,21.6,59.8,91.53,Level Door,172.92999999999998,5,34.95,[431 499 526 543 434],Internal,,0.5,10.0
818,34.0,55.8,60.28,Green Door,150.07999999999998,5,43.48,[795 637 787 824 825],Internal,,0.2,10.0
819,22.4,55.6,66.67,Green Door,144.67000000000002,5,33.53,[795 637 787 824 825],Internal,,0.5,10.0
820,48.4,53.4,53.78,Key Door,155.58,5,50.95,[1019 1069 1047  926  854],Internal,,0.2,10.0
821,15.2,50.2,50.67,Key Door,116.07000000000001,5,23.38,[1019 1069 1047  926  854],Internal,,0.5,10.0
822,21.2,58.4,82.81,Other Door,162.41,5,33.76,[1162 1137 1235 1190 1266],Internal,,0.2,10.0
823,7.6,53.8,100.0,Other Door,161.4,5,14.13,[1162 1137 1235 1190 1266],Internal,,0.5,10.0
824,42.0,62.8,71.92,Key,176.72,5,53.03,[ 293 1070  321  332  829],Internal,,0.2,10.0
825,19.2,56.8,77.42,Key,153.42,5,30.77,[ 293 1070  321  332  829],Internal,,0.5,10.0
826,74.4,72.6,71.81,Orb,218.81,5,73.08,[1023 1311  176  562 1300],Internal,,0.2,10.0
827,35.2,65.6,89.8,Orb,190.59999999999997,5,50.58,[1023 1311  176  562 1300],Internal,,0.5,10.0
828,56.8,72.8,83.53,Level Door,213.13,5,67.62,[532 529 549 516 530],External,,0.2,10.0
829,38.4,66.8,88.89,Level Door,194.09,5,53.63,[532 529 549 516 530],External,,0.5,10.0
830,51.2,64.6,69.95,Green Door,185.75,5,59.12,[767 784 781 732 705],External,,0.2,10.0
831,7.6,53.6,95.0,Green Door,156.2,5,14.07,[767 784 781 732 705],External,,0.5,10.0
832,13.6,53.0,64.15,Key Door,130.75,5,22.44,[ 868 1088  998  999  884],External,,0.2,10.0
833,7.2,52.6,78.26,Key Door,138.06,5,13.19,[ 868 1088  998  999  884],External,,0.5,10.0
834,13.2,52.2,60.0,Other Door,125.4,5,21.64,[1283 1235 1252 1333 1108],External,,0.2,10.0
835,5.2,52.6,100.0,Other Door,157.79999999999998,5,9.89,[1283 1235 1252 1333 1108],External,,0.5,10.0
836,4.0,50.8,62.5,Key,117.3,5,7.52,[ 310  231  209  345 1070],External,,0.2,10.0
837,0.4,50.2,100.0,Key,150.6,5,0.8,[ 310  231  209  345 1070],External,,0.5,10.0
838,16.4,55.2,73.21,Orb,144.81,5,26.8,[ 182  758  163  551 1027],External,,0.2,10.0
839,4.4,52.0,91.67,Orb,148.07000000000002,5,8.4,[ 182  758  163  551 1027],External,,0.5,10.0
840,62.8,73.2,79.29,Level Door,215.29000000000002,5,70.09,[431 471 364 442 437],Ext+Int,,0.2,10.0
841,50.8,71.6,86.99,Level Door,209.39,5,64.14,[431 471 364 442 437],Ext+Int,,0.5,10.0
842,20.8,58.0,81.25,Green Door,160.05,5,33.12,[676 808 814 601 674],Ext+Int,,0.2,10.0
843,4.8,52.0,85.71,Green Door,142.51,5,9.09,[676 808 814 601 674],Ext+Int,,0.5,10.0
844,27.2,59.8,78.16,Key Door,165.15999999999997,5,40.36,[979 986 869 946 894],Ext+Int,,0.2,10.0
845,8.0,53.8,95.24,Key Door,157.04,5,14.76,[979 986 869 946 894],Ext+Int,,0.5,10.0
846,33.2,56.0,61.03,Other Door,150.23000000000002,5,43.01,[1185 1215 1274 1249 1101],Ext+Int,,0.2,10.0
847,2.0,50.8,83.33,Other Door,136.13,5,3.91,[1185 1215 1274 1249 1101],Ext+Int,,0.5,10.0
848,18.4,49.8,49.46,Key,117.66,5,26.82,[827 306 807 200 201],Ext+Int,,0.2,10.0
849,1.6,50.0,50.0,Key,101.6,5,3.1,[827 306 807 200 201],Ext+Int,,0.5,10.0
850,44.4,55.8,57.51,Orb,157.71,5,50.11,[1322  556  156 1343  578],Ext+Int,,0.2,10.0
851,6.0,52.0,75.0,Orb,133.0,5,11.11,[1322  556  156 1343  578],Ext+Int,,0.5,10.0
852,54.4,71.8,83.44,Level Door,209.64000000000001,5,65.86,[445 523 530 468 408],Internal,,0.2,10.0
853,32.8,65.8,96.47,Level Door,195.07,5,48.96,[445 523 530 468 408],Internal,,0.5,10.0
854,58.4,66.4,69.52,Green Door,194.32000000000002,5,63.48,[709 753 760 620 779],Internal,,0.2,10.0
855,30.4,59.6,73.08,Green Door,163.08,5,42.94,[709 753 760 620 779],Internal,,0.5,10.0
856,39.2,54.8,56.98,Key Door,150.98000000000002,5,46.45,[ 995  936 1082  890  860],Internal,,0.2,10.0
857,13.2,53.8,70.21,Key Door,137.20999999999998,5,22.22,[ 995  936 1082  890  860],Internal,,0.5,10.0
858,50.4,72.4,90.0,Other Door,212.8,5,64.62,[1157 1287 1336 1252 1206],Internal,,0.2,10.0
859,28.8,63.6,94.74,Other Door,187.14000000000001,5,44.17,[1157 1287 1336 1252 1206],Internal,,0.5,10.0
860,34.0,53.8,56.29,Key,144.09,5,42.39,[282 200 322 297 829],Internal,,0.2,10.0
861,23.2,55.8,66.67,Key,145.67,5,34.42,[282 200 322 297 829],Internal,,0.5,10.0
862,61.6,76.8,88.51,Orb,226.91,5,72.64,[ 586 1318  768  596  596],Internal,,0.2,10.0
863,19.2,57.4,81.36,Orb,157.95999999999998,5,31.07,[ 586 1318  768  596  596],Internal,,0.5,10.0
864,62.8,74.8,82.63,Level Door,220.23000000000002,5,71.36,[406 368 457 433 590],External,,0.2,10.0
865,42.8,68.6,88.43,Level Door,199.82999999999998,5,57.68,[406 368 457 433 590],External,,0.5,10.0
866,26.4,59.0,75.86,Green Door,161.26000000000002,5,39.17,[769 707 848 682 611],External,,0.2,10.0
867,9.6,53.6,80.0,Green Door,143.2,5,17.14,[769 707 848 682 611],External,,0.5,10.0
868,15.6,54.4,69.64,Key Door,139.64,5,25.49,[960 896 929 932 864],External,,0.2,10.0
869,11.2,53.0,68.29,Key Door,132.49,5,19.24,[960 896 929 932 864],External,,0.5,10.0
870,29.6,59.6,74.0,Other Door,163.2,5,42.29,[1182 1297 1323 1309 1114],External,,0.2,10.0
871,3.2,50.6,61.54,Other Door,115.34,5,6.08,[1182 1297 1323 1309 1114],External,,0.5,10.0
872,25.6,56.0,65.31,Key,146.91,5,36.78,[325 828 329 835 847],External,,0.2,10.0
873,3.2,51.2,80.0,Key,134.39999999999998,5,6.15,[325 828 329 835 847],External,,0.5,10.0
874,24.4,53.2,57.55,Orb,135.15,5,34.27,[ 775 1300 1001 1346  156],External,,0.2,10.0
875,0.8,50.0,50.0,Orb,100.8,5,1.57,[ 775 1300 1001 1346  156],External,,0.5,10.0
876,59.6,69.8,74.87,Level Door,204.27,5,66.37,[381 442 379 592 511],Ext+Int,,0.2,10.0
877,39.6,65.2,81.15,Level Door,185.95000000000002,5,53.23,[381 442 379 592 511],Ext+Int,,0.5,10.0
878,56.4,68.4,74.21,Green Door,199.01000000000002,5,64.09,[809 701 647 696 754],Ext+Int,,0.2,10.0
879,28.0,60.8,81.4,Green Door,170.2,5,41.67,[809 701 647 696 754],Ext+Int,,0.5,10.0
880,22.4,54.0,60.87,Key Door,137.27,5,32.75,[ 930  999  937  974 1072],Ext+Int,,0.2,10.0
881,12.0,54.6,81.08,Key Door,147.68,5,20.91,[ 930  999  937  974 1072],Ext+Int,,0.5,10.0
882,25.6,57.2,69.57,Other Door,152.37,5,37.43,[1159 1275 1125 1244 1160],Ext+Int,,0.2,10.0
883,7.6,53.0,82.61,Other Door,143.21,5,13.92,[1159 1275 1125 1244 1160],Ext+Int,,0.5,10.0
884,9.2,50.6,53.49,Key,113.29,5,15.7,[ 345 1097  303 1095  340],Ext+Int,,0.2,10.0
885,0.8,50.4,100.0,Key,151.20000000000002,5,1.59,[ 345 1097  303 1095  340],Ext+Int,,0.5,10.0
886,14.4,55.2,78.26,Orb,147.86,5,24.32,[ 577  794 1019 1336  794],Ext+Int,,0.2,10.0
887,1.6,50.8,100.0,Orb,152.4,5,3.15,[ 577  794 1019 1336  794],Ext+Int,,0.5,10.0
888,65.6,78.0,87.23,Level Door,230.83,5,74.88,[462 584 445 401 588],Internal,,0.2,10.0
889,36.4,66.4,91.0,Level Door,193.8,5,52.0,[462 584 445 401 588],Internal,,0.5,10.0
890,62.8,68.0,70.09,Green Door,200.89,5,66.25,[633 786 615 810 788],Internal,,0.2,10.0
891,34.4,64.6,86.87,Green Door,185.87,5,49.28,[633 786 615 810 788],Internal,,0.5,10.0
892,42.4,51.4,51.71,Key Door,145.51,5,46.59,[1006  987 1025  854 1040],Internal,,0.2,10.0
893,10.4,48.2,42.62,Key Door,101.22,5,16.72,[1006  987 1025  854 1040],Internal,,0.5,10.0
894,52.4,68.6,77.51,Other Door,198.51000000000002,5,62.53,[1126 1319 1172 1236 1231],Internal,,0.2,10.0
895,22.8,60.4,91.94,Other Door,175.14000000000001,5,36.54,[1126 1319 1172 1236 1231],Internal,,0.5,10.0
896,14.4,50.6,52.17,Key,117.17000000000002,5,22.57,[1089  214  834  316  286],Internal,,0.2,10.0
897,3.6,50.6,60.0,Key,114.19999999999999,5,6.79,[1089  214  834  316  286],Internal,,0.5,10.0
898,54.4,68.2,75.14,Orb,197.74,5,63.11,[1338 1006  581 1049  168],Internal,,0.2,10.0
899,24.8,57.8,72.94,Orb,155.54000000000002,5,37.01,[1338 1006  581 1049  168],Internal,,0.5,10.0
900,66.4,76.6,83.42,Level Door,226.42,5,73.94,[444 383 569 568 445],External,,0.2,10.0
901,48.8,72.0,91.04,Level Door,211.84000000000003,5,63.54,[444 383 569 568 445],External,,0.5,10.0
902,15.6,53.6,65.0,Green Door,134.2,5,25.16,[833 811 624 823 708],External,,0.2,10.0
903,2.8,50.8,70.0,Green Door,123.6,5,5.38,[833 811 624 823 708],External,,0.5,10.0
904,23.2,55.2,64.44,Key Door,142.84,5,34.12,[ 917  904 1085 1001  932],External,,0.2,10.0
905,6.0,51.6,68.18,Key Door,125.78,5,11.03,[ 917  904 1085 1001  932],External,,0.5,10.0
906,14.4,49.4,48.0,Other Door,111.80000000000001,5,22.15,[1255 1340 1259 1256 1253],External,,0.2,10.0
907,7.2,49.6,47.37,Other Door,104.17,5,12.5,[1255 1340 1259 1256 1253],External,,0.5,10.0
908,10.8,54.4,84.38,Key,149.58,5,19.15,[ 288  264  812 1072 1061],External,,0.2,10.0
909,1.2,50.6,100.0,Key,151.79999999999998,5,2.37,[ 288  264  812 1072 1061],External,,0.5,10.0
910,16.8,55.0,71.19,Orb,142.99,5,27.18,[ 578  763 1016 1326 1049],External,,0.2,10.0
911,10.0,53.6,78.12,Orb,141.72,5,17.73,[ 578  763 1016 1326 1049],External,,0.5,10.0
912,65.6,73.4,77.73,Level Door,216.73,5,71.15,[483 491 455 372 384],Ext+Int,,0.2,10.0
913,46.0,70.6,90.55,Level Door,207.14999999999998,5,61.01,[483 491 455 372 384],Ext+Int,,0.5,10.0
914,62.8,71.6,76.21,Green Door,210.61,5,68.86,[618 666 812 680 684],Ext+Int,,0.2,10.0
915,30.8,62.6,84.62,Green Door,178.02,5,45.16,[618 666 812 680 684],Ext+Int,,0.5,10.0
916,14.0,52.2,59.32,Key Door,125.52000000000001,5,22.65,[ 994  883  885 1037  961],Ext+Int,,0.2,10.0
917,8.0,51.6,62.5,Key Door,122.1,5,14.18,[ 994  883  885 1037  961],Ext+Int,,0.5,10.0
918,6.8,49.4,45.95,Other Door,102.14999999999999,5,11.85,[1165 1254 1217 1250 1275],Ext+Int,,0.2,10.0
919,2.0,50.4,62.5,Other Door,114.9,5,3.88,[1165 1254 1217 1250 1275],Ext+Int,,0.5,10.0
920,3.6,50.8,64.29,Key,118.69,5,6.82,[ 228  841  321 1070  844],Ext+Int,,0.2,10.0
921,0.4,50.2,100.0,Key,150.6,5,0.8,[ 228  841  321 1070  844],Ext+Int,,0.5,10.0
922,52.8,65.0,69.84,Orb,187.64,5,60.14,[1032  796  782 1334  556],Ext+Int,,0.2,10.0
923,26.4,59.0,75.86,Orb,161.26000000000002,5,39.17,[1032  796  782 1334  556],Ext+Int,,0.5,10.0
924,61.2,75.2,85.0,Level Door,221.39999999999998,5,71.16,[445 461 507 435 496],Internal,,0.2,10.0
925,33.6,65.2,91.3,Level Door,190.1,5,49.12,[445 461 507 435 496],Internal,,0.5,10.0
926,48.4,58.6,60.8,Green Door,167.8,5,53.9,[759 633 776 849 742],Internal,,0.2,10.0
927,22.4,57.0,72.73,Green Door,152.13000000000002,5,34.25,[759 633 776 849 742],Internal,,0.5,10.0
928,26.8,57.2,68.37,Key Door,152.37,5,38.51,[991 870 991 995 935],Internal,,0.2,10.0
929,15.6,55.6,78.0,Key Door,149.2,5,26.0,[991 870 991 995 935],Internal,,0.5,10.0
930,41.2,69.0,92.79,Other Door,202.99,5,57.06,[1280 1196 1290 1338 1178],Internal,,0.2,10.0
